"Fact","Fact Note","Blount County, Alabama","Value Note for Blount County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","60,163",""
"Population estimates, July 1, 2023, (V2023)","","59,816",""
"Population estimates base, April 1, 2020, (V2024)","","59,130",""
"Population estimates base, April 1, 2020, (V2023)","","59,130",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","59,134",""
"Population, Census, April 1, 2010","","57,322",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","22.9%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","95.3%",""
"Black alone, percent (a)","(a)","2.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","10.5%",""
"White alone, not Hispanic or Latino, percent","","85.4%",""
"Veterans, 2019-2023","","2,933",""
"Foreign-born persons, percent, 2019-2023","","4.7%",""
"Housing Units, July 1, 2023, (V2023)","","25,065",""
"Owner-occupied housing unit rate, 2019-2023","","79.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$169,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,315",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$409",""
"Median gross rent, 2019-2023","","$743",""
"Building Permits, 2023","","20",""
"Households, 2019-2023","","21,977",""
"Persons per household, 2019-2023","","2.67",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.1%",""
"Households with a computer, percent, 2019-2023","","91.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.3%",""
"Persons without health insurance, under age 65 years, percent","","12.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","47,465",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","98,395",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","78,860",""
"Total retail sales, 2022 ($1,000)","(c)","482,654",""
"Total retail sales per capita, 2022","(c)","$8,110",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","35.3",""
"Median households income (in 2023 dollars), 2019-2023","","$61,096",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,656",""
"Persons in poverty, percent","","12.8%",""
"Total employer establishments, 2022","","767",""
"Total employment, 2022","","7,221",""
"Total annual payroll, 2022 ($1,000)","","303,907",""
"Total employment, percent change, 2021-2022","","6.7%",""
"Total nonemployer establishments, 2022","","4,039",""
"All employer firms, Reference year 2022","","559",""
"Men-owned employer firms, Reference year 2022","","386",""
"Women-owned employer firms, Reference year 2022","","55",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","417",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","430",""
"Population per square mile, 2020","","91.7",""
"Population per square mile, 2010","","88.9",""
"Land area in square miles, 2020","","644.89",""
"Land area in square miles, 2010","","644.78",""
"FIPS Code","","""01009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
