"Fact","Fact Note","Chilton County, Alabama","Value Note for Chilton County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","47,262",""
"Population estimates, July 1, 2023, (V2023)","","46,431",""
"Population estimates base, April 1, 2020, (V2024)","","45,012",""
"Population estimates base, April 1, 2020, (V2023)","","45,011",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.2%",""
"Population, Census, April 1, 2020","","45,014",""
"Population, Census, April 1, 2010","","43,643",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.0%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","86.7%",""
"Black alone, percent (a)","(a)","10.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","10.1%",""
"White alone, not Hispanic or Latino, percent","","77.9%",""
"Veterans, 2019-2023","","1,864",""
"Foreign-born persons, percent, 2019-2023","","5.1%",""
"Housing Units, July 1, 2023, (V2023)","","20,132",""
"Owner-occupied housing unit rate, 2019-2023","","76.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$142,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,233",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$394",""
"Median gross rent, 2019-2023","","$855",""
"Building Permits, 2023","","24",""
"Households, 2019-2023","","17,554",""
"Persons per household, 2019-2023","","2.57",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.3%",""
"Households with a computer, percent, 2019-2023","","88.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.7%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","65,626",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","102,948",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","43,971",""
"Total retail sales, 2022 ($1,000)","(c)","673,323",""
"Total retail sales per capita, 2022","(c)","$14,686",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.7",""
"Median households income (in 2023 dollars), 2019-2023","","$61,873",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,032",""
"Persons in poverty, percent","","15.3%",""
"Total employer establishments, 2022","","801",""
"Total employment, 2022","","7,501",""
"Total annual payroll, 2022 ($1,000)","","309,764",""
"Total employment, percent change, 2021-2022","","1.0%",""
"Total nonemployer establishments, 2022","","3,210",""
"All employer firms, Reference year 2022","","579",""
"Men-owned employer firms, Reference year 2022","","377",""
"Women-owned employer firms, Reference year 2022","","93",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","447",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","458",""
"Population per square mile, 2020","","65.0",""
"Population per square mile, 2010","","63.0",""
"Land area in square miles, 2020","","692.84",""
"Land area in square miles, 2010","","692.85",""
"FIPS Code","","""01021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
