"Fact","Fact Note","Cleburne County, Alabama","Value Note for Cleburne County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","15,905",""
"Population estimates, July 1, 2023, (V2023)","","15,639",""
"Population estimates base, April 1, 2020, (V2024)","","15,055",""
"Population estimates base, April 1, 2020, (V2023)","","15,057",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.9%",""
"Population, Census, April 1, 2020","","15,056",""
"Population, Census, April 1, 2010","","14,972",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.2%",""
"Persons 65 years and over, percent","","19.5%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","94.4%",""
"Black alone, percent (a)","(a)","3.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","92.8%",""
"Veterans, 2019-2023","","901",""
"Foreign-born persons, percent, 2019-2023","","0.9%",""
"Housing Units, July 1, 2023, (V2023)","","6,921",""
"Owner-occupied housing unit rate, 2019-2023","","80.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$144,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,237",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$384",""
"Median gross rent, 2019-2023","","$792",""
"Building Permits, 2023","","6",""
"Households, 2019-2023","","5,849",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.6%",""
"Households with a computer, percent, 2019-2023","","88.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.9%",""
"Persons without health insurance, under age 65 years, percent","","12.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","48.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","42.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","8,828",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","290,058",""
"Total retail sales per capita, 2022","(c)","$18,869",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","36.0",""
"Median households income (in 2023 dollars), 2019-2023","","$53,319",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,569",""
"Persons in poverty, percent","","15.8%",""
"Total employer establishments, 2022","","191",""
"Total employment, 2022","","1,972",""
"Total annual payroll, 2022 ($1,000)","","96,505",""
"Total employment, percent change, 2021-2022","","18.5%",""
"Total nonemployer establishments, 2022","","1,060",""
"All employer firms, Reference year 2022","","131",""
"Men-owned employer firms, Reference year 2022","","88",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","111",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","110",""
"Population per square mile, 2020","","26.9",""
"Population per square mile, 2010","","26.7",""
"Land area in square miles, 2020","","560.11",""
"Land area in square miles, 2010","","560.10",""
"FIPS Code","","""01029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
