"Fact","Fact Note","Coffee County, Alabama","Value Note for Coffee County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","56,358",""
"Population estimates, July 1, 2023, (V2023)","","55,643",""
"Population estimates base, April 1, 2020, (V2024)","","53,470",""
"Population estimates base, April 1, 2020, (V2023)","","53,459",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.1%",""
"Population, Census, April 1, 2020","","53,465",""
"Population, Census, April 1, 2010","","49,948",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","17.5%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","75.9%",""
"Black alone, percent (a)","(a)","17.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.5%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.5%",""
"Two or More Races, percent","","3.4%",""
"Hispanic or Latino, percent (b)","(b)","9.9%",""
"White alone, not Hispanic or Latino, percent","","68.0%",""
"Veterans, 2019-2023","","6,360",""
"Foreign-born persons, percent, 2019-2023","","4.4%",""
"Housing Units, July 1, 2023, (V2023)","","24,878",""
"Owner-occupied housing unit rate, 2019-2023","","69.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$180,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,368",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$394",""
"Median gross rent, 2019-2023","","$970",""
"Building Permits, 2023","","131",""
"Households, 2019-2023","","20,860",""
"Persons per household, 2019-2023","","2.56",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.5%",""
"Households with a computer, percent, 2019-2023","","92.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.4%",""
"Persons without health insurance, under age 65 years, percent","","11.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","119,067",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","212,709",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","77,498",""
"Total retail sales, 2022 ($1,000)","(c)","1,018,911",""
"Total retail sales per capita, 2022","(c)","$18,580",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.7",""
"Median households income (in 2023 dollars), 2019-2023","","$64,672",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,757",""
"Persons in poverty, percent","","16.5%",""
"Total employer establishments, 2022","","1,013",""
"Total employment, 2022","","14,273",""
"Total annual payroll, 2022 ($1,000)","","595,261",""
"Total employment, percent change, 2021-2022","","1.2%",""
"Total nonemployer establishments, 2022","","3,348",""
"All employer firms, Reference year 2022","","811",""
"Men-owned employer firms, Reference year 2022","","340",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","115",""
"Nonminority-owned employer firms, Reference year 2022","","518",""
"Veteran-owned employer firms, Reference year 2022","","86",""
"Nonveteran-owned employer firms, Reference year 2022","","536",""
"Population per square mile, 2020","","78.7",""
"Population per square mile, 2010","","73.6",""
"Land area in square miles, 2020","","678.99",""
"Land area in square miles, 2010","","678.97",""
"FIPS Code","","""01031""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
