"Fact","Fact Note","Dale County, Alabama","Value Note for Dale County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","50,067",""
"Population estimates, July 1, 2023, (V2023)","","49,871",""
"Population estimates base, April 1, 2020, (V2024)","","49,320",""
"Population estimates base, April 1, 2020, (V2023)","","49,322",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","49,326",""
"Population, Census, April 1, 2010","","50,251",""
"Persons under 5 years, percent","","6.9%",""
"Persons under 18 years, percent","","23.3%",""
"Persons 65 years and over, percent","","18.6%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","72.4%",""
"Black alone, percent (a)","(a)","21.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent (b)","(b)","7.2%",""
"White alone, not Hispanic or Latino, percent","","66.6%",""
"Veterans, 2019-2023","","5,195",""
"Foreign-born persons, percent, 2019-2023","","3.4%",""
"Housing Units, July 1, 2023, (V2023)","","23,096",""
"Owner-occupied housing unit rate, 2019-2023","","61.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$129,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,120",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$366",""
"Median gross rent, 2019-2023","","$863",""
"Building Permits, 2023","","49",""
"Households, 2019-2023","","19,769",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.4%",""
"Households with a computer, percent, 2019-2023","","92.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.6%",""
"Persons without health insurance, under age 65 years, percent","","10.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","48.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","45.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","67,095",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","120,991",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","72,296",""
"Total retail sales, 2022 ($1,000)","(c)","496,765",""
"Total retail sales per capita, 2022","(c)","$10,037",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.3",""
"Median households income (in 2023 dollars), 2019-2023","","$53,955",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,344",""
"Persons in poverty, percent","","16.6%",""
"Total employer establishments, 2022","","715",""
"Total employment, 2022","","8,071",""
"Total annual payroll, 2022 ($1,000)","","359,141",""
"Total employment, percent change, 2021-2022","","-21.9%",""
"Total nonemployer establishments, 2022","","3,141",""
"All employer firms, Reference year 2022","","424",""
"Men-owned employer firms, Reference year 2022","","191",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","267",""
"Veteran-owned employer firms, Reference year 2022","","34",""
"Nonveteran-owned employer firms, Reference year 2022","","267",""
"Population per square mile, 2020","","87.9",""
"Population per square mile, 2010","","89.6",""
"Land area in square miles, 2020","","561.11",""
"Land area in square miles, 2010","","561.15",""
"FIPS Code","","""01045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
