"Fact","Fact Note","Elmore County, Alabama","Value Note for Elmore County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","91,042",""
"Population estimates, July 1, 2023, (V2023)","","90,441",""
"Population estimates base, April 1, 2020, (V2024)","","87,980",""
"Population estimates base, April 1, 2020, (V2023)","","87,980",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.8%",""
"Population, Census, April 1, 2020","","87,977",""
"Population, Census, April 1, 2010","","79,303",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","17.1%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","74.8%",""
"Black alone, percent (a)","(a)","22.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","3.5%",""
"White alone, not Hispanic or Latino, percent","","72.0%",""
"Veterans, 2019-2023","","6,356",""
"Foreign-born persons, percent, 2019-2023","","2.1%",""
"Housing Units, July 1, 2023, (V2023)","","37,563",""
"Owner-occupied housing unit rate, 2019-2023","","76.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$213,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,401",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$402",""
"Median gross rent, 2019-2023","","$1,014",""
"Building Permits, 2023","","93",""
"Households, 2019-2023","","32,529",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.7%",""
"Households with a computer, percent, 2019-2023","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.2%",""
"Persons without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","482,687",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","193,175",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","46,216",""
"Total retail sales, 2022 ($1,000)","(c)","1,039,054",""
"Total retail sales per capita, 2022","(c)","$11,597",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.5",""
"Median households income (in 2023 dollars), 2019-2023","","$75,553",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,616",""
"Persons in poverty, percent","","12.5%",""
"Total employer establishments, 2022","","1,273",""
"Total employment, 2022","","15,337",""
"Total annual payroll, 2022 ($1,000)","","596,610",""
"Total employment, percent change, 2021-2022","","1.1%",""
"Total nonemployer establishments, 2022","","6,093",""
"All employer firms, Reference year 2022","","1,050",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","155",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","831",""
"Population per square mile, 2020","","142.2",""
"Population per square mile, 2010","","128.2",""
"Land area in square miles, 2020","","618.52",""
"Land area in square miles, 2010","","618.49",""
"FIPS Code","","""01051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
