"Fact","Fact Note","Lawrence County, Alabama","Value Note for Lawrence County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","33,567",""
"Population estimates, July 1, 2023, (V2023)","","33,502",""
"Population estimates base, April 1, 2020, (V2024)","","33,058",""
"Population estimates base, April 1, 2020, (V2023)","","33,074",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.3%",""
"Population, Census, April 1, 2020","","33,073",""
"Population, Census, April 1, 2010","","34,339",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.8%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","78.8%",""
"Black alone, percent (a)","(a)","10.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","5.7%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","5.1%",""
"Hispanic or Latino, percent (b)","(b)","3.3%",""
"White alone, not Hispanic or Latino, percent","","76.1%",""
"Veterans, 2019-2023","","2,130",""
"Foreign-born persons, percent, 2019-2023","","1.4%",""
"Housing Units, July 1, 2023, (V2023)","","15,476",""
"Owner-occupied housing unit rate, 2019-2023","","81.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$150,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,171",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$408",""
"Median gross rent, 2019-2023","","$708",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","13,145",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.1%",""
"Households with a computer, percent, 2019-2023","","84.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","74.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.7%",""
"Persons without health insurance, under age 65 years, percent","","12.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","32,968",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","62,113",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","19,922",""
"Total retail sales, 2022 ($1,000)","(c)","294,123",""
"Total retail sales per capita, 2022","(c)","$8,863",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.3",""
"Median households income (in 2023 dollars), 2019-2023","","$60,040",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,189",""
"Persons in poverty, percent","","14.2%",""
"Total employer establishments, 2022","","401",""
"Total employment, 2022","","3,321",""
"Total annual payroll, 2022 ($1,000)","","134,765",""
"Total employment, percent change, 2021-2022","","-1.8%",""
"Total nonemployer establishments, 2022","","2,119",""
"All employer firms, Reference year 2022","","241",""
"Men-owned employer firms, Reference year 2022","","149",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","25",""
"Nonminority-owned employer firms, Reference year 2022","","162",""
"Veteran-owned employer firms, Reference year 2022","","9",""
"Nonveteran-owned employer firms, Reference year 2022","","180",""
"Population per square mile, 2020","","47.9",""
"Population per square mile, 2010","","49.7",""
"Land area in square miles, 2020","","690.68",""
"Land area in square miles, 2010","","690.68",""
"FIPS Code","","""01079""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
