"Fact","Fact Note","Lee County, Alabama","Value Note for Lee County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","187,847",""
"Population estimates, July 1, 2023, (V2023)","","183,215",""
"Population estimates base, April 1, 2020, (V2024)","","174,341",""
"Population estimates base, April 1, 2020, (V2023)","","174,247",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.1%",""
"Population, Census, April 1, 2020","","174,241",""
"Population, Census, April 1, 2010","","140,247",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","14.0%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","70.5%",""
"Black alone, percent (a)","(a)","22.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","4.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","5.4%",""
"White alone, not Hispanic or Latino, percent","","66.0%",""
"Veterans, 2019-2023","","10,163",""
"Foreign-born persons, percent, 2019-2023","","6.5%",""
"Housing Units, July 1, 2023, (V2023)","","81,879",""
"Owner-occupied housing unit rate, 2019-2023","","65.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$238,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,485",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$460",""
"Median gross rent, 2019-2023","","$999",""
"Building Permits, 2023","","1,403",""
"Households, 2019-2023","","67,944",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.6%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","41.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.9%",""
"Persons without health insurance, under age 65 years, percent","","10.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","511,324",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","535,446",""
"Total retail sales, 2022 ($1,000)","(c)","3,016,943",""
"Total retail sales per capita, 2022","(c)","$16,696",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.4",""
"Median households income (in 2023 dollars), 2019-2023","","$61,123",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,504",""
"Persons in poverty, percent","","17.9%",""
"Total employer establishments, 2022","","3,304",""
"Total employment, 2022","","50,311",""
"Total annual payroll, 2022 ($1,000)","","2,180,377",""
"Total employment, percent change, 2021-2022","","5.3%",""
"Total nonemployer establishments, 2022","","13,032",""
"All employer firms, Reference year 2022","","2,813",""
"Men-owned employer firms, Reference year 2022","","1,740",""
"Women-owned employer firms, Reference year 2022","","455",""
"Minority-owned employer firms, Reference year 2022","","392",""
"Nonminority-owned employer firms, Reference year 2022","","2,071",""
"Veteran-owned employer firms, Reference year 2022","","151",""
"Nonveteran-owned employer firms, Reference year 2022","","2,269",""
"Population per square mile, 2020","","286.8",""
"Population per square mile, 2010","","230.8",""
"Land area in square miles, 2020","","607.54",""
"Land area in square miles, 2010","","607.54",""
"FIPS Code","","""01081""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
