"Fact","Fact Note","Limestone County, Alabama","Value Note for Limestone County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","118,942",""
"Population estimates, July 1, 2023, (V2023)","","114,654",""
"Population estimates base, April 1, 2020, (V2024)","","103,561",""
"Population estimates base, April 1, 2020, (V2023)","","103,565",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","14.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","10.7%",""
"Population, Census, April 1, 2020","","103,570",""
"Population, Census, April 1, 2010","","82,782",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","16.0%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","79.7%",""
"Black alone, percent (a)","(a)","14.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","7.7%",""
"White alone, not Hispanic or Latino, percent","","73.2%",""
"Veterans, 2019-2023","","7,063",""
"Foreign-born persons, percent, 2019-2023","","4.1%",""
"Housing Units, July 1, 2023, (V2023)","","45,270",""
"Owner-occupied housing unit rate, 2019-2023","","77.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$255,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,456",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$445",""
"Median gross rent, 2019-2023","","$908",""
"Building Permits, 2023","","491",""
"Households, 2019-2023","","40,021",""
"Persons per household, 2019-2023","","2.61",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.5%",""
"Households with a computer, percent, 2019-2023","","93.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.9%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","148,170",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","287,439",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","138,624",""
"Total retail sales, 2022 ($1,000)","(c)","1,191,314",""
"Total retail sales per capita, 2022","(c)","$10,745",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.5",""
"Median households income (in 2023 dollars), 2019-2023","","$83,534",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,587",""
"Persons in poverty, percent","","8.6%",""
"Total employer establishments, 2022","","1,571",""
"Total employment, 2022","","24,631",""
"Total annual payroll, 2022 ($1,000)","","1,273,939",""
"Total employment, percent change, 2021-2022","","18.4%",""
"Total nonemployer establishments, 2022","","7,668",""
"All employer firms, Reference year 2022","","1,254",""
"Men-owned employer firms, Reference year 2022","","705",""
"Women-owned employer firms, Reference year 2022","","250",""
"Minority-owned employer firms, Reference year 2022","","117",""
"Nonminority-owned employer firms, Reference year 2022","","946",""
"Veteran-owned employer firms, Reference year 2022","","34",""
"Nonveteran-owned employer firms, Reference year 2022","","1,031",""
"Population per square mile, 2020","","185.0",""
"Population per square mile, 2010","","147.8",""
"Land area in square miles, 2020","","559.96",""
"Land area in square miles, 2010","","559.94",""
"FIPS Code","","""01083""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
