"Fact","Fact Note","Macon County, Alabama","Value Note for Macon County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","18,159",""
"Population estimates, July 1, 2023, (V2023)","","18,370",""
"Population estimates base, April 1, 2020, (V2024)","","19,531",""
"Population estimates base, April 1, 2020, (V2023)","","19,527",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-7.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.9%",""
"Population, Census, April 1, 2020","","19,532",""
"Population, Census, April 1, 2010","","21,452",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","16.6%",""
"Persons 65 years and over, percent","","21.9%",""
"Female persons, percent","","54.7%",""
"White alone, percent","","18.4%",""
"Black alone, percent (a)","(a)","79.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","17.3%",""
"Veterans, 2019-2023","","1,181",""
"Foreign-born persons, percent, 2019-2023","","1.3%",""
"Housing Units, July 1, 2023, (V2023)","","9,696",""
"Owner-occupied housing unit rate, 2019-2023","","64.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$95,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,126",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$441",""
"Median gross rent, 2019-2023","","$709",""
"Building Permits, 2023","","7",""
"Households, 2019-2023","","7,151",""
"Persons per household, 2019-2023","","2.29",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.8%",""
"Households with a computer, percent, 2019-2023","","85.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","9.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","51.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","22,625",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","18,632",""
"Total retail sales, 2022 ($1,000)","(c)","187,528",""
"Total retail sales per capita, 2022","(c)","$10,119",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.4",""
"Median households income (in 2023 dollars), 2019-2023","","$45,951",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,595",""
"Persons in poverty, percent","","28.8%",""
"Total employer establishments, 2022","","200",""
"Total employment, 2022","","4,441",""
"Total annual payroll, 2022 ($1,000)","","235,345",""
"Total employment, percent change, 2021-2022","","-0.9%",""
"Total nonemployer establishments, 2022","","1,070",""
"All employer firms, Reference year 2022","","168",""
"Men-owned employer firms, Reference year 2022","","93",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","46",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","8",""
"Nonveteran-owned employer firms, Reference year 2022","","121",""
"Population per square mile, 2020","","32.1",""
"Population per square mile, 2010","","35.2",""
"Land area in square miles, 2020","","608.67",""
"Land area in square miles, 2010","","608.89",""
"FIPS Code","","""01087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
