"Fact","Fact Note","Madison County, Alabama","Value Note for Madison County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","423,355",""
"Population estimates, July 1, 2023, (V2023)","","412,600",""
"Population estimates base, April 1, 2020, (V2024)","","388,156",""
"Population estimates base, April 1, 2020, (V2023)","","388,154",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","9.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","6.3%",""
"Population, Census, April 1, 2020","","388,153",""
"Population, Census, April 1, 2010","","334,811",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","21.4%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","68.2%",""
"Black alone, percent (a)","(a)","25.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","2.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","6.8%",""
"White alone, not Hispanic or Latino, percent","","62.5%",""
"Veterans, 2019-2023","","34,392",""
"Foreign-born persons, percent, 2019-2023","","5.7%",""
"Housing Units, July 1, 2023, (V2023)","","182,179",""
"Owner-occupied housing unit rate, 2019-2023","","68.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$267,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,497",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$465",""
"Median gross rent, 2019-2023","","$1,116",""
"Building Permits, 2023","","5,449",""
"Households, 2019-2023","","162,469",""
"Persons per household, 2019-2023","","2.37",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.6%",""
"Households with a computer, percent, 2019-2023","","96.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","45.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.6%",""
"Persons without health insurance, under age 65 years, percent","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,230,939",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","4,088,207",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","893,234",""
"Total retail sales, 2022 ($1,000)","(c)","8,429,473",""
"Total retail sales per capita, 2022","(c)","$20,885",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.9",""
"Median households income (in 2023 dollars), 2019-2023","","$83,528",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,784",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","9,208",""
"Total employment, 2022","","184,414",""
"Total annual payroll, 2022 ($1,000)","","12,008,804",""
"Total employment, percent change, 2021-2022","","4.6%",""
"Total nonemployer establishments, 2022","","30,735",""
"All employer firms, Reference year 2022","","6,733",""
"Men-owned employer firms, Reference year 2022","","3,521",""
"Women-owned employer firms, Reference year 2022","","1,625",""
"Minority-owned employer firms, Reference year 2022","","1,214",""
"Nonminority-owned employer firms, Reference year 2022","","4,543",""
"Veteran-owned employer firms, Reference year 2022","","451",""
"Nonveteran-owned employer firms, Reference year 2022","","5,207",""
"Population per square mile, 2020","","484.2",""
"Population per square mile, 2010","","417.7",""
"Land area in square miles, 2020","","801.60",""
"Land area in square miles, 2010","","801.59",""
"FIPS Code","","""01089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
