"Fact","Fact Note","Marshall County, Alabama","Value Note for Marshall County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","102,156",""
"Population estimates, July 1, 2023, (V2023)","","100,756",""
"Population estimates base, April 1, 2020, (V2024)","","97,609",""
"Population estimates base, April 1, 2020, (V2023)","","97,611",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.2%",""
"Population, Census, April 1, 2020","","97,612",""
"Population, Census, April 1, 2010","","93,019",""
"Persons under 5 years, percent","","7.4%",""
"Persons under 18 years, percent","","26.0%",""
"Persons 65 years and over, percent","","17.4%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","92.1%",""
"Black alone, percent (a)","(a)","3.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","17.5%",""
"White alone, not Hispanic or Latino, percent","","76.8%",""
"Veterans, 2019-2023","","5,463",""
"Foreign-born persons, percent, 2019-2023","","7.2%",""
"Housing Units, July 1, 2023, (V2023)","","41,985",""
"Owner-occupied housing unit rate, 2019-2023","","75.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$183,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,303",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$391",""
"Median gross rent, 2019-2023","","$765",""
"Building Permits, 2023","","148",""
"Households, 2019-2023","","35,963",""
"Persons per household, 2019-2023","","2.71",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","14.0%",""
"Households with a computer, percent, 2019-2023","","93.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","12.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","238,213",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","479,133",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","173,841",""
"Total retail sales, 2022 ($1,000)","(c)","2,202,297",""
"Total retail sales per capita, 2022","(c)","$22,150",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.5",""
"Median households income (in 2023 dollars), 2019-2023","","$60,946",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,025",""
"Persons in poverty, percent","","16.5%",""
"Total employer establishments, 2022","","1,954",""
"Total employment, 2022","","35,004",""
"Total annual payroll, 2022 ($1,000)","","1,545,372",""
"Total employment, percent change, 2021-2022","","1.8%",""
"Total nonemployer establishments, 2022","","8,536",""
"All employer firms, Reference year 2022","","1,682",""
"Men-owned employer firms, Reference year 2022","","1,072",""
"Women-owned employer firms, Reference year 2022","","315",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,256",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,404",""
"Population per square mile, 2020","","172.5",""
"Population per square mile, 2010","","164.4",""
"Land area in square miles, 2020","","565.85",""
"Land area in square miles, 2010","","565.84",""
"FIPS Code","","""01095""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
