"Fact","Fact Note","Pickens County, Alabama","Value Note for Pickens County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","18,508",""
"Population estimates, July 1, 2023, (V2023)","","18,688",""
"Population estimates base, April 1, 2020, (V2024)","","19,125",""
"Population estimates base, April 1, 2020, (V2023)","","19,130",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.3%",""
"Population, Census, April 1, 2020","","19,123",""
"Population, Census, April 1, 2010","","19,746",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","18.9%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","58.5%",""
"Black alone, percent (a)","(a)","39.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","1.2%",""
"Hispanic or Latino, percent (b)","(b)","6.7%",""
"White alone, not Hispanic or Latino, percent","","52.7%",""
"Veterans, 2019-2023","","1,024",""
"Foreign-born persons, percent, 2019-2023","","4.3%",""
"Housing Units, July 1, 2023, (V2023)","","8,771",""
"Owner-occupied housing unit rate, 2019-2023","","75.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$123,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,140",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$408",""
"Median gross rent, 2019-2023","","$600",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","6,946",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.7%",""
"Households with a computer, percent, 2019-2023","","86.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","18.3%",""
"Persons without health insurance, under age 65 years, percent","","10.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","47.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","37.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","9,465",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","36,210",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,491",""
"Total retail sales, 2022 ($1,000)","(c)","129,466",""
"Total retail sales per capita, 2022","(c)","$6,905",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","34.0",""
"Median households income (in 2023 dollars), 2019-2023","","$47,014",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,328",""
"Persons in poverty, percent","","21.5%",""
"Total employer establishments, 2022","","244",""
"Total employment, 2022","","2,490",""
"Total annual payroll, 2022 ($1,000)","","108,170",""
"Total employment, percent change, 2021-2022","","-2.3%",""
"Total nonemployer establishments, 2022","","1,243",""
"All employer firms, Reference year 2022","","181",""
"Men-owned employer firms, Reference year 2022","","111",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","153",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","144",""
"Population per square mile, 2020","","21.7",""
"Population per square mile, 2010","","22.4",""
"Land area in square miles, 2020","","881.41",""
"Land area in square miles, 2010","","881.41",""
"FIPS Code","","""01107""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
