"Fact","Fact Note","Tuscaloosa County, Alabama","Value Note for Tuscaloosa County, Alabama"
"Population estimates, July 1, 2024, (V2024)","","241,212",""
"Population estimates, July 1, 2023, (V2023)","","237,373",""
"Population estimates base, April 1, 2020, (V2024)","","228,135",""
"Population estimates base, April 1, 2020, (V2023)","","227,037",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.6%",""
"Population, Census, April 1, 2020","","227,036",""
"Population, Census, April 1, 2010","","194,656",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","14.4%",""
"Female persons, percent","","51.8%",""
"White alone, percent","","63.7%",""
"Black alone, percent (a)","(a)","32.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","5.5%",""
"White alone, not Hispanic or Latino, percent","","59.1%",""
"Veterans, 2019-2023","","11,443",""
"Foreign-born persons, percent, 2019-2023","","4.0%",""
"Housing Units, July 1, 2023, (V2023)","","105,665",""
"Owner-occupied housing unit rate, 2019-2023","","62.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$233,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,512",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$448",""
"Median gross rent, 2019-2023","","$997",""
"Building Permits, 2023","","656",""
"Households, 2019-2023","","87,289",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.0%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","8.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","720,808",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,740,919",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","788,729",""
"Total retail sales, 2022 ($1,000)","(c)","3,699,180",""
"Total retail sales per capita, 2022","(c)","$15,629",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.1",""
"Median households income (in 2023 dollars), 2019-2023","","$63,947",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,674",""
"Persons in poverty, percent","","19.2%",""
"Total employer establishments, 2022","","4,197",""
"Total employment, 2022","","81,201",""
"Total annual payroll, 2022 ($1,000)","","4,225,789",""
"Total employment, percent change, 2021-2022","","3.0%",""
"Total nonemployer establishments, 2022","","16,000",""
"All employer firms, Reference year 2022","","3,211",""
"Men-owned employer firms, Reference year 2022","","1,820",""
"Women-owned employer firms, Reference year 2022","","662",""
"Minority-owned employer firms, Reference year 2022","","485",""
"Nonminority-owned employer firms, Reference year 2022","","2,239",""
"Veteran-owned employer firms, Reference year 2022","","86",""
"Nonveteran-owned employer firms, Reference year 2022","","2,611",""
"Population per square mile, 2020","","171.9",""
"Population per square mile, 2010","","147.3",""
"Land area in square miles, 2020","","1,320.85",""
"Land area in square miles, 2010","","1,321.76",""
"FIPS Code","","""01125""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
