"Fact","Fact Note","Aleutians East Borough, Alaska","Value Note for Aleutians East Borough, Alaska"
"Population estimates, July 1, 2024, (V2024)","","3,632",""
"Population estimates, July 1, 2023, (V2023)","","3,461",""
"Population estimates base, April 1, 2020, (V2024)","","3,420",""
"Population estimates base, April 1, 2020, (V2023)","","3,421",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","3,420",""
"Population, Census, April 1, 2010","","3,141",""
"Persons under 5 years, percent","","1.4%",""
"Persons under 18 years, percent","","5.5%",""
"Persons 65 years and over, percent","","9.5%",""
"Female persons, percent","","29.8%",""
"White alone, percent","","26.0%",""
"Black alone, percent (a)","(a)","11.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","13.3%",""
"Asian alone, percent (a)","(a)","44.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.0%",""
"Two or More Races, percent","","4.4%",""
"Hispanic or Latino, percent (b)","(b)","20.7%",""
"White alone, not Hispanic or Latino, percent","","9.6%",""
"Veterans, 2019-2023","","127",""
"Foreign-born persons, percent, 2019-2023","","32.4%",""
"Housing Units, July 1, 2023, (V2023)","","679",""
"Owner-occupied housing unit rate, 2019-2023","","57.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$144,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,538",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$612",""
"Median gross rent, 2019-2023","","$1,040",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","998",""
"Persons per household, 2019-2023","","2.24",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","40.4%",""
"Households with a computer, percent, 2019-2023","","90.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","58.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.5%",""
"Persons without health insurance, under age 65 years, percent","","19.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","78.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","73.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,879",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,661",""
"Total retail sales, 2022 ($1,000)","(c)","D",""
"Total retail sales per capita, 2022","(c)","NA",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","5.5",""
"Median households income (in 2023 dollars), 2019-2023","","$72,692",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,293",""
"Persons in poverty, percent","","18.0%",""
"Total employer establishments, 2022","","62",""
"Total employment, 2022","","2,013",""
"Total annual payroll, 2022 ($1,000)","","117,373",""
"Total employment, percent change, 2021-2022","","9.5%",""
"Total nonemployer establishments, 2022","","207",""
"All employer firms, Reference year 2022","","32",""
"Men-owned employer firms, Reference year 2022","","18",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","12",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","18",""
"Population per square mile, 2020","","0.5",""
"Population per square mile, 2010","","0.4",""
"Land area in square miles, 2020","","6,985.23",""
"Land area in square miles, 2010","","6,981.94",""
"FIPS Code","","""02013""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
