"Fact","Fact Note","Bethel Census Area, Alaska","Value Note for Bethel Census Area, Alaska"
"Population estimates, July 1, 2024, (V2024)","","18,237",""
"Population estimates, July 1, 2023, (V2023)","","18,224",""
"Population estimates base, April 1, 2020, (V2024)","","18,664",""
"Population estimates base, April 1, 2020, (V2023)","","18,657",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.3%",""
"Population, Census, April 1, 2020","","18,666",""
"Population, Census, April 1, 2010","","17,013",""
"Persons under 5 years, percent","","10.4%",""
"Persons under 18 years, percent","","35.3%",""
"Persons 65 years and over, percent","","8.9%",""
"Female persons, percent","","47.1%",""
"White alone, percent","","8.5%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","85.0%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","4.3%",""
"Hispanic or Latino, percent (b)","(b)","1.4%",""
"White alone, not Hispanic or Latino, percent","","8.0%",""
"Veterans, 2019-2023","","725",""
"Foreign-born persons, percent, 2019-2023","","2.0%",""
"Housing Units, July 1, 2023, (V2023)","","6,028",""
"Owner-occupied housing unit rate, 2019-2023","","60.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$120,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,053",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$416",""
"Median gross rent, 2019-2023","","$1,454",""
"Building Permits, 2023","","45",""
"Households, 2019-2023","","4,661",""
"Persons per household, 2019-2023","","3.75",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","59.7%",""
"Households with a computer, percent, 2019-2023","","94.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","80.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","81.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","10.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.1%",""
"Persons without health insurance, under age 65 years, percent","","14.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","124,858",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","126,458",""
"Total retail sales, 2022 ($1,000)","(c)","231,911",""
"Total retail sales per capita, 2022","(c)","$12,701",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","7.4",""
"Median households income (in 2023 dollars), 2019-2023","","$70,616",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,976",""
"Persons in poverty, percent","","29.3%",""
"Total employer establishments, 2022","","227",""
"Total employment, 2022","","2,325",""
"Total annual payroll, 2022 ($1,000)","","137,307",""
"Total employment, percent change, 2021-2022","","6.6%",""
"Total nonemployer establishments, 2022","","665",""
"All employer firms, Reference year 2022","","124",""
"Men-owned employer firms, Reference year 2022","","65",""
"Women-owned employer firms, Reference year 2022","","17",""
"Minority-owned employer firms, Reference year 2022","","43",""
"Nonminority-owned employer firms, Reference year 2022","","50",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","95",""
"Population per square mile, 2020","","0.5",""
"Population per square mile, 2010","","0.4",""
"Land area in square miles, 2020","","40,627.14",""
"Land area in square miles, 2010","","40,570.00",""
"FIPS Code","","""02050""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
