"Fact","Fact Note","Dillingham Census Area, Alaska","Value Note for Dillingham Census Area, Alaska"
"Population estimates, July 1, 2024, (V2024)","","4,642",""
"Population estimates, July 1, 2023, (V2023)","","4,607",""
"Population estimates base, April 1, 2020, (V2024)","","4,858",""
"Population estimates base, April 1, 2020, (V2023)","","4,856",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-4.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.1%",""
"Population, Census, April 1, 2020","","4,857",""
"Population, Census, April 1, 2010","","4,847",""
"Persons under 5 years, percent","","8.4%",""
"Persons under 18 years, percent","","31.0%",""
"Persons 65 years and over, percent","","12.5%",""
"Female persons, percent","","47.8%",""
"White alone, percent","","16.1%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","72.7%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","9.3%",""
"Hispanic or Latino, percent (b)","(b)","3.7%",""
"White alone, not Hispanic or Latino, percent","","14.5%",""
"Veterans, 2019-2023","","99",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","2,401",""
"Owner-occupied housing unit rate, 2019-2023","","63.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$163,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,274",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$570",""
"Median gross rent, 2019-2023","","$1,085",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","1,383",""
"Persons per household, 2019-2023","","3.18",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","37.7%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","80.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.7%",""
"Persons without health insurance, under age 65 years, percent","","17.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","7,182",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","19,548",""
"Total retail sales, 2022 ($1,000)","(c)","49,052",""
"Total retail sales per capita, 2022","(c)","$10,384",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","9.2",""
"Median households income (in 2023 dollars), 2019-2023","","$74,250",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,097",""
"Persons in poverty, percent","","23.4%",""
"Total employer establishments, 2022","","115",""
"Total employment, 2022","","1,191",""
"Total annual payroll, 2022 ($1,000)","","99,134",""
"Total employment, percent change, 2021-2022","","4.2%",""
"Total nonemployer establishments, 2022","","661",""
"All employer firms, Reference year 2022","","100",""
"Men-owned employer firms, Reference year 2022","","49",""
"Women-owned employer firms, Reference year 2022","","14",""
"Minority-owned employer firms, Reference year 2022","","17",""
"Nonminority-owned employer firms, Reference year 2022","","55",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","73",""
"Population per square mile, 2020","","0.3",""
"Population per square mile, 2010","","0.3",""
"Land area in square miles, 2020","","18,333.99",""
"Land area in square miles, 2010","","18,568.78",""
"FIPS Code","","""02070""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
