"Fact","Fact Note","Hoonah-Angoon Census Area, Alaska","Value Note for Hoonah-Angoon Census Area, Alaska"
"Population estimates, July 1, 2024, (V2024)","","2,312",""
"Population estimates, July 1, 2023, (V2023)","","2,262",""
"Population estimates base, April 1, 2020, (V2024)","","2,356",""
"Population estimates base, April 1, 2020, (V2023)","","2,360",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-4.2%",""
"Population, Census, April 1, 2020","","2,365",""
"Population, Census, April 1, 2010","","2,150",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","16.5%",""
"Persons 65 years and over, percent","","26.9%",""
"Female persons, percent","","45.4%",""
"White alone, percent","","49.2%",""
"Black alone, percent (a)","(a)","2.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","36.7%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","10.8%",""
"Hispanic or Latino, percent (b)","(b)","6.5%",""
"White alone, not Hispanic or Latino, percent","","46.0%",""
"Veterans, 2019-2023","","221",""
"Foreign-born persons, percent, 2019-2023","","3.5%",""
"Housing Units, July 1, 2023, (V2023)","","1,802",""
"Owner-occupied housing unit rate, 2019-2023","","72.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$278,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,369",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$371",""
"Median gross rent, 2019-2023","","$986",""
"Building Permits, 2023","","5",""
"Households, 2019-2023","","922",""
"Persons per household, 2019-2023","","2.33",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.3%",""
"Households with a computer, percent, 2019-2023","","82.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","65.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.1%",""
"Persons without health insurance, under age 65 years, percent","","16.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","7,638",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","17,491",""
"Total retail sales, 2022 ($1,000)","(c)","25,200",""
"Total retail sales per capita, 2022","(c)","$11,057",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.3",""
"Median households income (in 2023 dollars), 2019-2023","","$62,500",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,180",""
"Persons in poverty, percent","","17.2%",""
"Total employer establishments, 2022","","94",""
"Total employment, 2022","","323",""
"Total annual payroll, 2022 ($1,000)","","24,011",""
"Total employment, percent change, 2021-2022","","21.4%",""
"Total nonemployer establishments, 2022","","281",""
"All employer firms, Reference year 2022","","65",""
"Men-owned employer firms, Reference year 2022","","39",""
"Women-owned employer firms, Reference year 2022","","12",""
"Minority-owned employer firms, Reference year 2022","","12",""
"Nonminority-owned employer firms, Reference year 2022","","43",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","48",""
"Population per square mile, 2020","","0.4",""
"Population per square mile, 2010","","0.3",""
"Land area in square miles, 2020","","6,555.26",""
"Land area in square miles, 2010","","7,524.92",""
"FIPS Code","","""02105""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
