"Fact","Fact Note","Juneau City and Borough (County), Alaska","Value Note for Juneau City and Borough (County), Alaska"
"Population estimates, July 1, 2024, (V2024)","","31,572",""
"Population estimates, July 1, 2023, (V2023)","","31,555",""
"Population estimates base, April 1, 2020, (V2024)","","32,250",""
"Population estimates base, April 1, 2020, (V2023)","","32,256",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.2%",""
"Population, Census, April 1, 2020","","32,255",""
"Population, Census, April 1, 2010","","31,275",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","17.0%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","67.7%",""
"Black alone, percent (a)","(a)","1.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","12.5%",""
"Asian alone, percent (a)","(a)","7.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.3%",""
"Two or More Races, percent","","9.7%",""
"Hispanic or Latino, percent (b)","(b)","7.4%",""
"White alone, not Hispanic or Latino, percent","","63.2%",""
"Veterans, 2019-2023","","1,729",""
"Foreign-born persons, percent, 2019-2023","","7.9%",""
"Housing Units, July 1, 2023, (V2023)","","14,286",""
"Owner-occupied housing unit rate, 2019-2023","","64.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$432,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,379",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$843",""
"Median gross rent, 2019-2023","","$1,462",""
"Building Permits, 2023","","156",""
"Households, 2019-2023","","13,138",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.7%",""
"Households with a computer, percent, 2019-2023","","97.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","40.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.0%",""
"Persons without health insurance, under age 65 years, percent","","12.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","143,178",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","368,780",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","246,347",""
"Total retail sales, 2022 ($1,000)","(c)","522,437",""
"Total retail sales per capita, 2022","(c)","$16,460",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","15.8",""
"Median households income (in 2023 dollars), 2019-2023","","$100,513",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$51,146",""
"Persons in poverty, percent","","9.1%",""
"Total employer establishments, 2022","","1,128",""
"Total employment, 2022","","11,106",""
"Total annual payroll, 2022 ($1,000)","","754,155",""
"Total employment, percent change, 2021-2022","","6.8%",""
"Total nonemployer establishments, 2022","","2,796",""
"All employer firms, Reference year 2022","","950",""
"Men-owned employer firms, Reference year 2022","","512",""
"Women-owned employer firms, Reference year 2022","","158",""
"Minority-owned employer firms, Reference year 2022","","116",""
"Nonminority-owned employer firms, Reference year 2022","","652",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","717",""
"Population per square mile, 2020","","11.9",""
"Population per square mile, 2010","","11.6",""
"Land area in square miles, 2020","","2,704.03",""
"Land area in square miles, 2010","","2,701.93",""
"FIPS Code","","""02110""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
