"Fact","Fact Note","Ketchikan Gateway Borough, Alaska","Value Note for Ketchikan Gateway Borough, Alaska"
"Population estimates, July 1, 2024, (V2024)","","13,677",""
"Population estimates, July 1, 2023, (V2023)","","13,738",""
"Population estimates base, April 1, 2020, (V2024)","","13,950",""
"Population estimates base, April 1, 2020, (V2023)","","13,953",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.5%",""
"Population, Census, April 1, 2020","","13,948",""
"Population, Census, April 1, 2010","","13,477",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","19.8%",""
"Persons 65 years and over, percent","","19.0%",""
"Female persons, percent","","47.7%",""
"White alone, percent","","65.9%",""
"Black alone, percent (a)","(a)","1.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","14.1%",""
"Asian alone, percent (a)","(a)","8.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","9.6%",""
"Hispanic or Latino, percent (b)","(b)","5.8%",""
"White alone, not Hispanic or Latino, percent","","62.2%",""
"Veterans, 2019-2023","","946",""
"Foreign-born persons, percent, 2019-2023","","8.7%",""
"Housing Units, July 1, 2023, (V2023)","","6,732",""
"Owner-occupied housing unit rate, 2019-2023","","67.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$379,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,116",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$677",""
"Median gross rent, 2019-2023","","$1,388",""
"Building Permits, 2023","","51",""
"Households, 2019-2023","","5,621",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.1%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","93,251",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","181,044",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","236,433",""
"Total retail sales, 2022 ($1,000)","(c)","302,679",""
"Total retail sales per capita, 2022","(c)","$21,978",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.3",""
"Median households income (in 2023 dollars), 2019-2023","","$89,155",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,608",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","606",""
"Total employment, 2022","","4,499",""
"Total annual payroll, 2022 ($1,000)","","300,962",""
"Total employment, percent change, 2021-2022","","5.0%",""
"Total nonemployer establishments, 2022","","1,320",""
"All employer firms, Reference year 2022","","468",""
"Men-owned employer firms, Reference year 2022","","233",""
"Women-owned employer firms, Reference year 2022","","99",""
"Minority-owned employer firms, Reference year 2022","","48",""
"Nonminority-owned employer firms, Reference year 2022","","352",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","370",""
"Population per square mile, 2020","","2.9",""
"Population per square mile, 2010","","2.8",""
"Land area in square miles, 2020","","4,856.93",""
"Land area in square miles, 2010","","4,858.41",""
"FIPS Code","","""02130""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
