"Fact","Fact Note","Nome Census Area, Alaska","Value Note for Nome Census Area, Alaska"
"Population estimates, July 1, 2024, (V2024)","","9,836",""
"Population estimates, July 1, 2023, (V2023)","","9,763",""
"Population estimates base, April 1, 2020, (V2024)","","10,039",""
"Population estimates base, April 1, 2020, (V2023)","","10,050",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.9%",""
"Population, Census, April 1, 2020","","10,046",""
"Population, Census, April 1, 2010","","9,492",""
"Persons under 5 years, percent","","8.3%",""
"Persons under 18 years, percent","","33.6%",""
"Persons 65 years and over, percent","","9.3%",""
"Female persons, percent","","47.8%",""
"White alone, percent","","13.8%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","75.8%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","7.4%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","12.9%",""
"Veterans, 2019-2023","","357",""
"Foreign-born persons, percent, 2019-2023","","2.3%",""
"Housing Units, July 1, 2023, (V2023)","","4,103",""
"Owner-occupied housing unit rate, 2019-2023","","63.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$201,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,061",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$554",""
"Median gross rent, 2019-2023","","$1,328",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","2,786",""
"Persons per household, 2019-2023","","3.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","25.5%",""
"Households with a computer, percent, 2019-2023","","94.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","14.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","65.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","94,812",""
"Total retail sales, 2022 ($1,000)","(c)","113,792",""
"Total retail sales per capita, 2022","(c)","$11,622",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","5.8",""
"Median households income (in 2023 dollars), 2019-2023","","$76,643",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,047",""
"Persons in poverty, percent","","20.7%",""
"Total employer establishments, 2022","","176",""
"Total employment, 2022","","2,397",""
"Total annual payroll, 2022 ($1,000)","","176,849",""
"Total employment, percent change, 2021-2022","","16.5%",""
"Total nonemployer establishments, 2022","","493",""
"All employer firms, Reference year 2022","","100",""
"Men-owned employer firms, Reference year 2022","","42",""
"Women-owned employer firms, Reference year 2022","","22",""
"Minority-owned employer firms, Reference year 2022","","21",""
"Nonminority-owned employer firms, Reference year 2022","","49",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","62",""
"Population per square mile, 2020","","0.4",""
"Population per square mile, 2010","","0.4",""
"Land area in square miles, 2020","","22,969.46",""
"Land area in square miles, 2010","","22,961.76",""
"FIPS Code","","""02180""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
