"Fact","Fact Note","Prince of Wales-Hyder Census Area, Alaska","Value Note for Prince of Wales-Hyder Census Area, Alaska"
"Population estimates, July 1, 2024, (V2024)","","5,746",""
"Population estimates, July 1, 2023, (V2023)","","5,696",""
"Population estimates base, April 1, 2020, (V2024)","","5,759",""
"Population estimates base, April 1, 2020, (V2023)","","5,755",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.0%",""
"Population, Census, April 1, 2020","","5,753",""
"Population, Census, April 1, 2010","","5,559",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","20.5%",""
"Female persons, percent","","45.5%",""
"White alone, percent","","45.5%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","41.8%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.5%",""
"Two or More Races, percent","","9.7%",""
"Hispanic or Latino, percent (b)","(b)","4.2%",""
"White alone, not Hispanic or Latino, percent","","43.7%",""
"Veterans, 2019-2023","","393",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","3,233",""
"Owner-occupied housing unit rate, 2019-2023","","71.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$221,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,755",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$410",""
"Median gross rent, 2019-2023","","$915",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","2,348",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.7%",""
"Households with a computer, percent, 2019-2023","","90.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","77.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.2%",""
"Persons without health insurance, under age 65 years, percent","","19.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","19,815",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","35,350",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","24,750",""
"Total retail sales, 2022 ($1,000)","(c)","101,348",""
"Total retail sales per capita, 2022","(c)","$17,938",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","12.1",""
"Median households income (in 2023 dollars), 2019-2023","","$59,079",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,162",""
"Persons in poverty, percent","","15.7%",""
"Total employer establishments, 2022","","180",""
"Total employment, 2022","","989",""
"Total annual payroll, 2022 ($1,000)","","57,369",""
"Total employment, percent change, 2021-2022","","-0.1%",""
"Total nonemployer establishments, 2022","","579",""
"All employer firms, Reference year 2022","","140",""
"Men-owned employer firms, Reference year 2022","","58",""
"Women-owned employer firms, Reference year 2022","","27",""
"Minority-owned employer firms, Reference year 2022","","11",""
"Nonminority-owned employer firms, Reference year 2022","","104",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","111",""
"Population per square mile, 2020","","1.1",""
"Population per square mile, 2010","","1.4",""
"Land area in square miles, 2020","","5,267.73",""
"Land area in square miles, 2010","","3,922.87",""
"FIPS Code","","""02198""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
