"Fact","Fact Note","Sitka City and Borough (County), Alaska","Value Note for Sitka City and Borough (County), Alaska"
"Population estimates, July 1, 2024, (V2024)","","8,355",""
"Population estimates, July 1, 2023, (V2023)","","8,282",""
"Population estimates base, April 1, 2020, (V2024)","","8,452",""
"Population estimates base, April 1, 2020, (V2023)","","8,449",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.0%",""
"Population, Census, April 1, 2020","","8,458",""
"Population, Census, April 1, 2010","","8,881",""
"Persons under 5 years, percent","","4.3%",""
"Persons under 18 years, percent","","18.8%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","48.5%",""
"White alone, percent","","65.2%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","15.1%",""
"Asian alone, percent (a)","(a)","8.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","9.5%",""
"Hispanic or Latino, percent (b)","(b)","7.3%",""
"White alone, not Hispanic or Latino, percent","","61.1%",""
"Veterans, 2019-2023","","505",""
"Foreign-born persons, percent, 2019-2023","","9.1%",""
"Housing Units, July 1, 2023, (V2023)","","4,173",""
"Owner-occupied housing unit rate, 2019-2023","","61.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$442,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,539",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$761",""
"Median gross rent, 2019-2023","","$1,350",""
"Building Permits, 2023","","10",""
"Households, 2019-2023","","3,503",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","79.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.8%",""
"Households with a computer, percent, 2019-2023","","96.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","95.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.0%",""
"Persons without health insurance, under age 65 years, percent","","15.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","67.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","55,347",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","237,946",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","78,135",""
"Total retail sales, 2022 ($1,000)","(c)","136,791",""
"Total retail sales per capita, 2022","(c)","$16,376",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","12.3",""
"Median households income (in 2023 dollars), 2019-2023","","$101,207",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$45,532",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","385",""
"Total employment, 2022","","2,947",""
"Total annual payroll, 2022 ($1,000)","","186,936",""
"Total employment, percent change, 2021-2022","","8.7%",""
"Total nonemployer establishments, 2022","","1,347",""
"All employer firms, Reference year 2022","","312",""
"Men-owned employer firms, Reference year 2022","","184",""
"Women-owned employer firms, Reference year 2022","","41",""
"Minority-owned employer firms, Reference year 2022","","36",""
"Nonminority-owned employer firms, Reference year 2022","","213",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","241",""
"Population per square mile, 2020","","2.9",""
"Population per square mile, 2010","","3.1",""
"Land area in square miles, 2020","","2,870.06",""
"Land area in square miles, 2010","","2,870.34",""
"FIPS Code","","""02220""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
