"Fact","Fact Note","Cochise County, Arizona","Value Note for Cochise County, Arizona"
"Population estimates, July 1, 2024, (V2024)","","125,773",""
"Population estimates, July 1, 2023, (V2023)","","124,640",""
"Population estimates base, April 1, 2020, (V2024)","","125,440",""
"Population estimates base, April 1, 2020, (V2023)","","125,445",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.6%",""
"Population, Census, April 1, 2020","","125,447",""
"Population, Census, April 1, 2010","","131,346",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.4%",""
"Persons 65 years and over, percent","","25.6%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","87.7%",""
"Black alone, percent (a)","(a)","4.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.8%",""
"Asian alone, percent (a)","(a)","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","34.8%",""
"White alone, not Hispanic or Latino, percent","","55.7%",""
"Veterans, 2019-2023","","17,297",""
"Foreign-born persons, percent, 2019-2023","","10.7%",""
"Housing Units, July 1, 2023, (V2023)","","60,174",""
"Owner-occupied housing unit rate, 2019-2023","","70.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$207,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,343",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$416",""
"Median gross rent, 2019-2023","","$939",""
"Building Permits, 2023","","486",""
"Households, 2019-2023","","50,476",""
"Persons per household, 2019-2023","","2.37",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","26.8%",""
"Households with a computer, percent, 2019-2023","","93.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.7%",""
"Persons without health insurance, under age 65 years, percent","","11.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","45.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","44.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","255,643",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","579,824",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","150,620",""
"Total retail sales, 2022 ($1,000)","(c)","1,870,152",""
"Total retail sales per capita, 2022","(c)","$14,903",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.8",""
"Median households income (in 2023 dollars), 2019-2023","","$58,970",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,708",""
"Persons in poverty, percent","","16.3%",""
"Total employer establishments, 2022","","2,162",""
"Total employment, 2022","","26,000",""
"Total annual payroll, 2022 ($1,000)","","1,147,595",""
"Total employment, percent change, 2021-2022","","3.4%",""
"Total nonemployer establishments, 2022","","7,619",""
"All employer firms, Reference year 2022","","1,655",""
"Men-owned employer firms, Reference year 2022","","738",""
"Women-owned employer firms, Reference year 2022","","380",""
"Minority-owned employer firms, Reference year 2022","","327",""
"Nonminority-owned employer firms, Reference year 2022","","1,014",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,220",""
"Population per square mile, 2020","","20.2",""
"Population per square mile, 2010","","21.3",""
"Land area in square miles, 2020","","6,209.75",""
"Land area in square miles, 2010","","6,165.69",""
"FIPS Code","","""04003""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
