"Fact","Fact Note","Graham County, Arizona","Value Note for Graham County, Arizona"
"Population estimates, July 1, 2024, (V2024)","","40,242",""
"Population estimates, July 1, 2023, (V2023)","","39,525",""
"Population estimates base, April 1, 2020, (V2024)","","38,539",""
"Population estimates base, April 1, 2020, (V2023)","","38,541",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.6%",""
"Population, Census, April 1, 2020","","38,533",""
"Population, Census, April 1, 2010","","37,220",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","26.4%",""
"Persons 65 years and over, percent","","14.7%",""
"Female persons, percent","","46.5%",""
"White alone, percent","","81.7%",""
"Black alone, percent (a)","(a)","1.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","13.1%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","31.0%",""
"White alone, not Hispanic or Latino, percent","","53.4%",""
"Veterans, 2019-2023","","1,648",""
"Foreign-born persons, percent, 2019-2023","","2.6%",""
"Housing Units, July 1, 2023, (V2023)","","14,304",""
"Owner-occupied housing unit rate, 2019-2023","","73.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$202,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,417",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$398",""
"Median gross rent, 2019-2023","","$890",""
"Building Permits, 2023","","181",""
"Households, 2019-2023","","12,460",""
"Persons per household, 2019-2023","","2.87",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","18.9%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.5%",""
"Persons without health insurance, under age 65 years, percent","","11.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","50.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","66,974",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","185,634",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","55,317",""
"Total retail sales, 2022 ($1,000)","(c)","609,665",""
"Total retail sales per capita, 2022","(c)","$15,704",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.0",""
"Median households income (in 2023 dollars), 2019-2023","","$67,326",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,094",""
"Persons in poverty, percent","","17.3%",""
"Total employer establishments, 2022","","561",""
"Total employment, 2022","","8,170",""
"Total annual payroll, 2022 ($1,000)","","381,530",""
"Total employment, percent change, 2021-2022","","-10.4%",""
"Total nonemployer establishments, 2022","","1,873",""
"All employer firms, Reference year 2022","","521",""
"Men-owned employer firms, Reference year 2022","","207",""
"Women-owned employer firms, Reference year 2022","","74",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","372",""
"Veteran-owned employer firms, Reference year 2022","","11",""
"Nonveteran-owned employer firms, Reference year 2022","","418",""
"Population per square mile, 2020","","8.3",""
"Population per square mile, 2010","","8.1",""
"Land area in square miles, 2020","","4,621.88",""
"Land area in square miles, 2010","","4,622.60",""
"FIPS Code","","""04009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
