"Fact","Fact Note","Navajo County, Arizona","Value Note for Navajo County, Arizona"
"Population estimates, July 1, 2024, (V2024)","","109,516",""
"Population estimates, July 1, 2023, (V2023)","","109,175",""
"Population estimates base, April 1, 2020, (V2024)","","106,715",""
"Population estimates base, April 1, 2020, (V2023)","","106,714",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.3%",""
"Population, Census, April 1, 2020","","106,717",""
"Population, Census, April 1, 2010","","107,449",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","24.8%",""
"Persons 65 years and over, percent","","20.6%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","51.8%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","43.7%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","11.1%",""
"White alone, not Hispanic or Latino, percent","","43.5%",""
"Veterans, 2019-2023","","6,174",""
"Foreign-born persons, percent, 2019-2023","","2.6%",""
"Housing Units, July 1, 2023, (V2023)","","58,075",""
"Owner-occupied housing unit rate, 2019-2023","","72.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$186,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,318",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$340",""
"Median gross rent, 2019-2023","","$832",""
"Building Permits, 2023","","381",""
"Households, 2019-2023","","39,171",""
"Persons per household, 2019-2023","","2.68",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","34.0%",""
"Households with a computer, percent, 2019-2023","","87.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","71.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","15.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","45.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","44.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","385,383",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","848,313",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","82,375",""
"Total retail sales, 2022 ($1,000)","(c)","1,842,191",""
"Total retail sales per capita, 2022","(c)","$16,932",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.7",""
"Median households income (in 2023 dollars), 2019-2023","","$52,752",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,347",""
"Persons in poverty, percent","","24.7%",""
"Total employer establishments, 2022","","1,850",""
"Total employment, 2022","","20,033",""
"Total annual payroll, 2022 ($1,000)","","859,051",""
"Total employment, percent change, 2021-2022","","1.2%",""
"Total nonemployer establishments, 2022","","6,426",""
"All employer firms, Reference year 2022","","1,374",""
"Men-owned employer firms, Reference year 2022","","753",""
"Women-owned employer firms, Reference year 2022","","234",""
"Minority-owned employer firms, Reference year 2022","","146",""
"Nonminority-owned employer firms, Reference year 2022","","1,046",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,119",""
"Population per square mile, 2020","","10.7",""
"Population per square mile, 2010","","10.8",""
"Land area in square miles, 2020","","9,949.49",""
"Land area in square miles, 2010","","9,950.42",""
"FIPS Code","","""04017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
