"Fact","Fact Note","Pinal County, Arizona","Value Note for Pinal County, Arizona"
"Population estimates, July 1, 2024, (V2024)","","513,862",""
"Population estimates, July 1, 2023, (V2023)","","484,239",""
"Population estimates base, April 1, 2020, (V2024)","","426,007",""
"Population estimates base, April 1, 2020, (V2023)","","426,000",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","20.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","13.7%",""
"Population, Census, April 1, 2020","","425,264",""
"Population, Census, April 1, 2010","","375,770",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","21.5%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","81.2%",""
"Black alone, percent (a)","(a)","6.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","6.1%",""
"Asian alone, percent (a)","(a)","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","30.2%",""
"White alone, not Hispanic or Latino, percent","","55.4%",""
"Veterans, 2019-2023","","35,535",""
"Foreign-born persons, percent, 2019-2023","","9.1%",""
"Housing Units, July 1, 2023, (V2023)","","189,787",""
"Owner-occupied housing unit rate, 2019-2023","","80.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$312,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,614",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$478",""
"Median gross rent, 2019-2023","","$1,417",""
"Building Permits, 2023","","7,324",""
"Households, 2019-2023","","157,193",""
"Persons per household, 2019-2023","","2.74",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","19.2%",""
"Households with a computer, percent, 2019-2023","","96.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","793,578",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,524,078",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","283,618",""
"Total retail sales, 2022 ($1,000)","(c)","4,322,458",""
"Total retail sales per capita, 2022","(c)","$9,295",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.9",""
"Median households income (in 2023 dollars), 2019-2023","","$77,588",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,245",""
"Persons in poverty, percent","","11.8%",""
"Total employer establishments, 2022","","4,534",""
"Total employment, 2022","","57,598",""
"Total annual payroll, 2022 ($1,000)","","2,807,389",""
"Total employment, percent change, 2021-2022","","4.6%",""
"Total nonemployer establishments, 2022","","28,232",""
"All employer firms, Reference year 2022","","3,719",""
"Men-owned employer firms, Reference year 2022","","1,925",""
"Women-owned employer firms, Reference year 2022","","836",""
"Minority-owned employer firms, Reference year 2022","","733",""
"Nonminority-owned employer firms, Reference year 2022","","2,494",""
"Veteran-owned employer firms, Reference year 2022","","253",""
"Nonveteran-owned employer firms, Reference year 2022","","3,046",""
"Population per square mile, 2020","","79.3",""
"Population per square mile, 2010","","70.0",""
"Land area in square miles, 2020","","5,366.05",""
"Land area in square miles, 2010","","5,365.61",""
"FIPS Code","","""04021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
