"Fact","Fact Note","Yuma County, Arizona","Value Note for Yuma County, Arizona"
"Population estimates, July 1, 2024, (V2024)","","220,310",""
"Population estimates, July 1, 2023, (V2023)","","213,221",""
"Population estimates base, April 1, 2020, (V2024)","","205,009",""
"Population estimates base, April 1, 2020, (V2023)","","205,002",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.0%",""
"Population, Census, April 1, 2020","","203,881",""
"Population, Census, April 1, 2010","","195,751",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","24.4%",""
"Persons 65 years and over, percent","","21.0%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","90.6%",""
"Black alone, percent (a)","(a)","2.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.5%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","65.2%",""
"White alone, not Hispanic or Latino, percent","","29.3%",""
"Veterans, 2019-2023","","14,484",""
"Foreign-born persons, percent, 2019-2023","","25.1%",""
"Housing Units, July 1, 2023, (V2023)","","96,592",""
"Owner-occupied housing unit rate, 2019-2023","","70.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$195,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,302",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$404",""
"Median gross rent, 2019-2023","","$983",""
"Building Permits, 2023","","873",""
"Households, 2019-2023","","76,903",""
"Persons per household, 2019-2023","","2.60",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","54.5%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","76.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.4%",""
"Persons without health insurance, under age 65 years, percent","","16.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","50.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","47.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","566,443",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,491,073",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","309,081",""
"Total retail sales, 2022 ($1,000)","(c)","3,529,580",""
"Total retail sales per capita, 2022","(c)","$16,898",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.9",""
"Median households income (in 2023 dollars), 2019-2023","","$60,417",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,918",""
"Persons in poverty, percent","","15.9%",""
"Total employer establishments, 2022","","3,351",""
"Total employment, 2022","","51,328",""
"Total annual payroll, 2022 ($1,000)","","2,145,066",""
"Total employment, percent change, 2021-2022","","6.5%",""
"Total nonemployer establishments, 2022","","12,263",""
"All employer firms, Reference year 2022","","2,632",""
"Men-owned employer firms, Reference year 2022","","1,351",""
"Women-owned employer firms, Reference year 2022","","486",""
"Minority-owned employer firms, Reference year 2022","","906",""
"Nonminority-owned employer firms, Reference year 2022","","1,288",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,089",""
"Population per square mile, 2020","","37.0",""
"Population per square mile, 2010","","35.5",""
"Land area in square miles, 2020","","5,513.84",""
"Land area in square miles, 2010","","5,513.99",""
"FIPS Code","","""04027""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
