"Fact","Fact Note","Arkansas County, Arkansas","Value Note for Arkansas County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","16,050",""
"Population estimates, July 1, 2023, (V2023)","","16,307",""
"Population estimates base, April 1, 2020, (V2024)","","17,144",""
"Population estimates base, April 1, 2020, (V2023)","","17,148",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-6.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-4.9%",""
"Population, Census, April 1, 2020","","17,149",""
"Population, Census, April 1, 2010","","19,019",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","20.5%",""
"Female persons, percent","","51.5%",""
"White alone, percent","","71.0%",""
"Black alone, percent (a)","(a)","25.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","4.3%",""
"White alone, not Hispanic or Latino, percent","","67.7%",""
"Veterans, 2019-2023","","651",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","8,707",""
"Owner-occupied housing unit rate, 2019-2023","","67.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$129,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,164",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$443",""
"Median gross rent, 2019-2023","","$799",""
"Building Permits, 2023","","15",""
"Households, 2019-2023","","6,587",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.5%",""
"Households with a computer, percent, 2019-2023","","88.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.5%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","32,660",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","85,689",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","281,971",""
"Total retail sales, 2022 ($1,000)","(c)","370,856",""
"Total retail sales per capita, 2022","(c)","$22,479",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.6",""
"Median households income (in 2023 dollars), 2019-2023","","$60,831",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,130",""
"Persons in poverty, percent","","16.8%",""
"Total employer establishments, 2022","","483",""
"Total employment, 2022","","8,470",""
"Total annual payroll, 2022 ($1,000)","","376,561",""
"Total employment, percent change, 2021-2022","","-3.8%",""
"Total nonemployer establishments, 2022","","1,484",""
"All employer firms, Reference year 2022","","276",""
"Men-owned employer firms, Reference year 2022","","136",""
"Women-owned employer firms, Reference year 2022","","26",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","200",""
"Veteran-owned employer firms, Reference year 2022","","12",""
"Nonveteran-owned employer firms, Reference year 2022","","184",""
"Population per square mile, 2020","","17.3",""
"Population per square mile, 2010","","19.2",""
"Land area in square miles, 2020","","992.14",""
"Land area in square miles, 2010","","988.77",""
"FIPS Code","","""05001""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
