"Fact","Fact Note","Clark County, Arkansas","Value Note for Clark County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","20,920",""
"Population estimates, July 1, 2023, (V2023)","","21,274",""
"Population estimates base, April 1, 2020, (V2024)","","21,462",""
"Population estimates base, April 1, 2020, (V2023)","","21,445",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.8%",""
"Population, Census, April 1, 2020","","21,446",""
"Population, Census, April 1, 2010","","22,995",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","16.8%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","73.1%",""
"Black alone, percent (a)","(a)","23.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","5.9%",""
"White alone, not Hispanic or Latino, percent","","68.1%",""
"Veterans, 2019-2023","","811",""
"Foreign-born persons, percent, 2019-2023","","1.8%",""
"Housing Units, July 1, 2023, (V2023)","","10,060",""
"Owner-occupied housing unit rate, 2019-2023","","61.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$147,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,167",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$393",""
"Median gross rent, 2019-2023","","$734",""
"Building Permits, 2023","","5",""
"Households, 2019-2023","","8,147",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","81.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","89.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","80.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.6%",""
"Persons without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","66,887",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","84,025",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","488,445",""
"Total retail sales per capita, 2022","(c)","$22,958",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.3",""
"Median households income (in 2023 dollars), 2019-2023","","$50,985",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,153",""
"Persons in poverty, percent","","18.9%",""
"Total employer establishments, 2022","","543",""
"Total employment, 2022","","6,696",""
"Total annual payroll, 2022 ($1,000)","","281,936",""
"Total employment, percent change, 2021-2022","","4.7%",""
"Total nonemployer establishments, 2022","","1,489",""
"All employer firms, Reference year 2022","","455",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","108",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","9",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","24.8",""
"Population per square mile, 2010","","26.6",""
"Land area in square miles, 2020","","865.97",""
"Land area in square miles, 2010","","866.07",""
"FIPS Code","","""05019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
