"Fact","Fact Note","Columbia County, Arkansas","Value Note for Columbia County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","22,024",""
"Population estimates, July 1, 2023, (V2023)","","22,150",""
"Population estimates base, April 1, 2020, (V2024)","","22,796",""
"Population estimates base, April 1, 2020, (V2023)","","22,800",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.9%",""
"Population, Census, April 1, 2020","","22,801",""
"Population, Census, April 1, 2010","","24,552",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","21.3%",""
"Persons 65 years and over, percent","","18.1%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","61.0%",""
"Black alone, percent (a)","(a)","35.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","3.6%",""
"White alone, not Hispanic or Latino, percent","","58.5%",""
"Veterans, 2019-2023","","949",""
"Foreign-born persons, percent, 2019-2023","","1.8%",""
"Housing Units, July 1, 2023, (V2023)","","11,049",""
"Owner-occupied housing unit rate, 2019-2023","","69.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$141,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,237",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$384",""
"Median gross rent, 2019-2023","","$631",""
"Building Permits, 2023","","20",""
"Households, 2019-2023","","8,361",""
"Persons per household, 2019-2023","","2.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.7%",""
"Households with a computer, percent, 2019-2023","","88.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.9%",""
"Persons without health insurance, under age 65 years, percent","","8.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","45,631",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","96,785",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","265,951",""
"Total retail sales per capita, 2022","(c)","$11,934",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.9",""
"Median households income (in 2023 dollars), 2019-2023","","$47,363",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,947",""
"Persons in poverty, percent","","23.3%",""
"Total employer establishments, 2022","","527",""
"Total employment, 2022","","7,098",""
"Total annual payroll, 2022 ($1,000)","","325,908",""
"Total employment, percent change, 2021-2022","","4.4%",""
"Total nonemployer establishments, 2022","","1,525",""
"All employer firms, Reference year 2022","","399",""
"Men-owned employer firms, Reference year 2022","","169",""
"Women-owned employer firms, Reference year 2022","","52",""
"Minority-owned employer firms, Reference year 2022","","31",""
"Nonminority-owned employer firms, Reference year 2022","","284",""
"Veteran-owned employer firms, Reference year 2022","","26",""
"Nonveteran-owned employer firms, Reference year 2022","","288",""
"Population per square mile, 2020","","29.8",""
"Population per square mile, 2010","","32.1",""
"Land area in square miles, 2020","","766.07",""
"Land area in square miles, 2010","","766.05",""
"FIPS Code","","""05027""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
