"Fact","Fact Note","Conway County, Arkansas","Value Note for Conway County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","21,422",""
"Population estimates, July 1, 2023, (V2023)","","21,077",""
"Population estimates base, April 1, 2020, (V2024)","","20,713",""
"Population estimates base, April 1, 2020, (V2023)","","20,710",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","20,715",""
"Population, Census, April 1, 2010","","21,273",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","22.5%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","84.1%",""
"Black alone, percent (a)","(a)","11.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","5.0%",""
"White alone, not Hispanic or Latino, percent","","79.8%",""
"Veterans, 2019-2023","","1,389",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","9,724",""
"Owner-occupied housing unit rate, 2019-2023","","71.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$137,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,103",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$404",""
"Median gross rent, 2019-2023","","$721",""
"Building Permits, 2023","","17",""
"Households, 2019-2023","","8,303",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.4%",""
"Households with a computer, percent, 2019-2023","","90.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","19.6%",""
"Persons without health insurance, under age 65 years, percent","","8.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","27,900",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","64,814",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","73,449",""
"Total retail sales, 2022 ($1,000)","(c)","334,343",""
"Total retail sales per capita, 2022","(c)","$15,905",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.2",""
"Median households income (in 2023 dollars), 2019-2023","","$51,212",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,521",""
"Persons in poverty, percent","","17.1%",""
"Total employer establishments, 2022","","415",""
"Total employment, 2022","","4,755",""
"Total annual payroll, 2022 ($1,000)","","218,718",""
"Total employment, percent change, 2021-2022","","0.4%",""
"Total nonemployer establishments, 2022","","1,518",""
"All employer firms, Reference year 2022","","326",""
"Men-owned employer firms, Reference year 2022","","169",""
"Women-owned employer firms, Reference year 2022","","28",""
"Minority-owned employer firms, Reference year 2022","","38",""
"Nonminority-owned employer firms, Reference year 2022","","216",""
"Veteran-owned employer firms, Reference year 2022","","5",""
"Nonveteran-owned employer firms, Reference year 2022","","247",""
"Population per square mile, 2020","","37.5",""
"Population per square mile, 2010","","38.5",""
"Land area in square miles, 2020","","551.92",""
"Land area in square miles, 2010","","552.25",""
"FIPS Code","","""05029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
