"Fact","Fact Note","Crawford County, Arkansas","Value Note for Crawford County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","62,258",""
"Population estimates, July 1, 2023, (V2023)","","61,891",""
"Population estimates base, April 1, 2020, (V2024)","","60,135",""
"Population estimates base, April 1, 2020, (V2023)","","60,119",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.9%",""
"Population, Census, April 1, 2020","","60,133",""
"Population, Census, April 1, 2010","","61,948",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.0%",""
"Persons 65 years and over, percent","","18.1%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","89.6%",""
"Black alone, percent (a)","(a)","2.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.8%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent (b)","(b)","9.0%",""
"White alone, not Hispanic or Latino, percent","","81.9%",""
"Veterans, 2019-2023","","4,494",""
"Foreign-born persons, percent, 2019-2023","","4.4%",""
"Housing Units, July 1, 2023, (V2023)","","25,748",""
"Owner-occupied housing unit rate, 2019-2023","","74.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$170,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,200",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$406",""
"Median gross rent, 2019-2023","","$828",""
"Building Permits, 2023","","155",""
"Households, 2019-2023","","22,994",""
"Persons per household, 2019-2023","","2.61",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.5%",""
"Households with a computer, percent, 2019-2023","","92.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.4%",""
"Persons without health insurance, under age 65 years, percent","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","104,415",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","160,929",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","404,248",""
"Total retail sales, 2022 ($1,000)","(c)","755,901",""
"Total retail sales per capita, 2022","(c)","$12,383",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.5",""
"Median households income (in 2023 dollars), 2019-2023","","$60,362",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,935",""
"Persons in poverty, percent","","13.3%",""
"Total employer establishments, 2022","","1,090",""
"Total employment, 2022","","14,520",""
"Total annual payroll, 2022 ($1,000)","","611,438",""
"Total employment, percent change, 2021-2022","","-6.0%",""
"Total nonemployer establishments, 2022","","4,404",""
"All employer firms, Reference year 2022","","773",""
"Men-owned employer firms, Reference year 2022","","436",""
"Women-owned employer firms, Reference year 2022","","122",""
"Minority-owned employer firms, Reference year 2022","","63",""
"Nonminority-owned employer firms, Reference year 2022","","601",""
"Veteran-owned employer firms, Reference year 2022","","53",""
"Nonveteran-owned employer firms, Reference year 2022","","607",""
"Population per square mile, 2020","","101.0",""
"Population per square mile, 2010","","104.4",""
"Land area in square miles, 2020","","595.27",""
"Land area in square miles, 2010","","593.09",""
"FIPS Code","","""05033""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
