"Fact","Fact Note","Garland County, Arkansas","Value Note for Garland County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","99,902",""
"Population estimates, July 1, 2023, (V2023)","","99,784",""
"Population estimates base, April 1, 2020, (V2024)","","100,173",""
"Population estimates base, April 1, 2020, (V2023)","","100,173",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.4%",""
"Population, Census, April 1, 2020","","100,180",""
"Population, Census, April 1, 2010","","96,024",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","19.6%",""
"Persons 65 years and over, percent","","25.4%",""
"Female persons, percent","","51.6%",""
"White alone, percent","","86.8%",""
"Black alone, percent (a)","(a)","8.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","7.6%",""
"White alone, not Hispanic or Latino, percent","","80.1%",""
"Veterans, 2019-2023","","7,831",""
"Foreign-born persons, percent, 2019-2023","","4.1%",""
"Housing Units, July 1, 2023, (V2023)","","53,009",""
"Owner-occupied housing unit rate, 2019-2023","","69.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$176,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,213",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$425",""
"Median gross rent, 2019-2023","","$942",""
"Building Permits, 2023","","84",""
"Households, 2019-2023","","43,762",""
"Persons per household, 2019-2023","","2.25",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.6%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.8%",""
"Persons without health insurance, under age 65 years, percent","","10.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","50.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","376,391",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,191,982",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","116,239",""
"Total retail sales, 2022 ($1,000)","(c)","2,169,266",""
"Total retail sales per capita, 2022","(c)","$21,697",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.9",""
"Median households income (in 2023 dollars), 2019-2023","","$55,409",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,793",""
"Persons in poverty, percent","","18.9%",""
"Total employer establishments, 2022","","2,906",""
"Total employment, 2022","","35,281",""
"Total annual payroll, 2022 ($1,000)","","1,488,469",""
"Total employment, percent change, 2021-2022","","3.8%",""
"Total nonemployer establishments, 2022","","8,740",""
"All employer firms, Reference year 2022","","2,730",""
"Men-owned employer firms, Reference year 2022","","1,597",""
"Women-owned employer firms, Reference year 2022","","462",""
"Minority-owned employer firms, Reference year 2022","","282",""
"Nonminority-owned employer firms, Reference year 2022","","2,147",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,235",""
"Population per square mile, 2020","","147.8",""
"Population per square mile, 2010","","141.7",""
"Land area in square miles, 2020","","677.64",""
"Land area in square miles, 2010","","677.78",""
"FIPS Code","","""05051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
