"Fact","Fact Note","Hot Spring County, Arkansas","Value Note for Hot Spring County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","33,313",""
"Population estimates, July 1, 2023, (V2023)","","33,258",""
"Population estimates base, April 1, 2020, (V2024)","","33,043",""
"Population estimates base, April 1, 2020, (V2023)","","33,044",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.6%",""
"Population, Census, April 1, 2020","","33,040",""
"Population, Census, April 1, 2010","","32,923",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","19.0%",""
"Persons 65 years and over, percent","","19.9%",""
"Female persons, percent","","47.1%",""
"White alone, percent","","84.9%",""
"Black alone, percent (a)","(a)","11.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","4.3%",""
"White alone, not Hispanic or Latino, percent","","81.2%",""
"Veterans, 2019-2023","","2,215",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","14,346",""
"Owner-occupied housing unit rate, 2019-2023","","77.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$127,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,133",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$390",""
"Median gross rent, 2019-2023","","$763",""
"Building Permits, 2023","","6",""
"Households, 2019-2023","","12,101",""
"Persons per household, 2019-2023","","2.55",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.1%",""
"Households with a computer, percent, 2019-2023","","90.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","77.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","20.6%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","49.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","35,828",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","95,413",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","136,925",""
"Total retail sales, 2022 ($1,000)","(c)","399,824",""
"Total retail sales per capita, 2022","(c)","$12,061",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.3",""
"Median households income (in 2023 dollars), 2019-2023","","$52,644",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,304",""
"Persons in poverty, percent","","16.9%",""
"Total employer establishments, 2022","","507",""
"Total employment, 2022","","6,153",""
"Total annual payroll, 2022 ($1,000)","","269,320",""
"Total employment, percent change, 2021-2022","","2.8%",""
"Total nonemployer establishments, 2022","","2,131",""
"All employer firms, Reference year 2022","","449",""
"Men-owned employer firms, Reference year 2022","","172",""
"Women-owned employer firms, Reference year 2022","","101",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","327",""
"Veteran-owned employer firms, Reference year 2022","","53",""
"Nonveteran-owned employer firms, Reference year 2022","","293",""
"Population per square mile, 2020","","53.7",""
"Population per square mile, 2010","","53.5",""
"Land area in square miles, 2020","","614.94",""
"Land area in square miles, 2010","","615.20",""
"FIPS Code","","""05059""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
