"Fact","Fact Note","Johnson County, Arkansas","Value Note for Johnson County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","26,172",""
"Population estimates, July 1, 2023, (V2023)","","26,129",""
"Population estimates base, April 1, 2020, (V2024)","","25,750",""
"Population estimates base, April 1, 2020, (V2023)","","25,749",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.5%",""
"Population, Census, April 1, 2020","","25,749",""
"Population, Census, April 1, 2010","","25,540",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","24.1%",""
"Persons 65 years and over, percent","","18.0%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","89.5%",""
"Black alone, percent (a)","(a)","2.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","3.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","14.1%",""
"White alone, not Hispanic or Latino, percent","","76.9%",""
"Veterans, 2019-2023","","1,561",""
"Foreign-born persons, percent, 2019-2023","","8.1%",""
"Housing Units, July 1, 2023, (V2023)","","11,598",""
"Owner-occupied housing unit rate, 2019-2023","","71.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$124,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,083",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$364",""
"Median gross rent, 2019-2023","","$714",""
"Building Permits, 2023","","13",""
"Households, 2019-2023","","10,047",""
"Persons per household, 2019-2023","","2.50",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.8%",""
"Households with a computer, percent, 2019-2023","","85.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","70.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.7%",""
"Persons without health insurance, under age 65 years, percent","","11.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","47.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","35,504",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","98,884",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","118,781",""
"Total retail sales, 2022 ($1,000)","(c)","367,608",""
"Total retail sales per capita, 2022","(c)","$14,155",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.4",""
"Median households income (in 2023 dollars), 2019-2023","","$44,808",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,865",""
"Persons in poverty, percent","","17.1%",""
"Total employer establishments, 2022","","404",""
"Total employment, 2022","","7,620",""
"Total annual payroll, 2022 ($1,000)","","288,074",""
"Total employment, percent change, 2021-2022","","9.4%",""
"Total nonemployer establishments, 2022","","1,535",""
"All employer firms, Reference year 2022","","289",""
"Men-owned employer firms, Reference year 2022","","173",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","194",""
"Veteran-owned employer firms, Reference year 2022","","1",""
"Nonveteran-owned employer firms, Reference year 2022","","225",""
"Population per square mile, 2020","","39.0",""
"Population per square mile, 2010","","38.7",""
"Land area in square miles, 2020","","661.00",""
"Land area in square miles, 2010","","659.80",""
"FIPS Code","","""05071""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
