"Fact","Fact Note","Lonoke County, Arkansas","Value Note for Lonoke County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","76,389",""
"Population estimates, July 1, 2023, (V2023)","","75,944",""
"Population estimates base, April 1, 2020, (V2024)","","74,025",""
"Population estimates base, April 1, 2020, (V2023)","","74,012",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.6%",""
"Population, Census, April 1, 2020","","74,015",""
"Population, Census, April 1, 2010","","68,356",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","24.4%",""
"Persons 65 years and over, percent","","15.2%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","88.6%",""
"Black alone, percent (a)","(a)","6.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","5.7%",""
"White alone, not Hispanic or Latino, percent","","83.8%",""
"Veterans, 2019-2023","","6,377",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","31,186",""
"Owner-occupied housing unit rate, 2019-2023","","74.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$184,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,372",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$433",""
"Median gross rent, 2019-2023","","$961",""
"Building Permits, 2023","","334",""
"Households, 2019-2023","","27,817",""
"Persons per household, 2019-2023","","2.66",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.5%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","8.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","133,751",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","173,524",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","82,619",""
"Total retail sales, 2022 ($1,000)","(c)","947,038",""
"Total retail sales per capita, 2022","(c)","$12,594",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.4",""
"Median households income (in 2023 dollars), 2019-2023","","$71,449",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,081",""
"Persons in poverty, percent","","9.6%",""
"Total employer establishments, 2022","","1,132",""
"Total employment, 2022","","12,048",""
"Total annual payroll, 2022 ($1,000)","","474,248",""
"Total employment, percent change, 2021-2022","","5.0%",""
"Total nonemployer establishments, 2022","","5,388",""
"All employer firms, Reference year 2022","","1,170",""
"Men-owned employer firms, Reference year 2022","","632",""
"Women-owned employer firms, Reference year 2022","","228",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","983",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","903",""
"Population per square mile, 2020","","95.9",""
"Population per square mile, 2010","","88.7",""
"Land area in square miles, 2020","","771.45",""
"Land area in square miles, 2010","","770.73",""
"FIPS Code","","""05085""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
