"Fact","Fact Note","Madison County, Arkansas","Value Note for Madison County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","17,865",""
"Population estimates, July 1, 2023, (V2023)","","17,775",""
"Population estimates base, April 1, 2020, (V2024)","","16,533",""
"Population estimates base, April 1, 2020, (V2023)","","16,519",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","8.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","7.6%",""
"Population, Census, April 1, 2020","","16,521",""
"Population, Census, April 1, 2010","","15,717",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","19.6%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","93.0%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","7.1%",""
"White alone, not Hispanic or Latino, percent","","87.0%",""
"Veterans, 2019-2023","","1,013",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","7,813",""
"Owner-occupied housing unit rate, 2019-2023","","79.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$157,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,074",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$366",""
"Median gross rent, 2019-2023","","$727",""
"Building Permits, 2023","","22",""
"Households, 2019-2023","","6,381",""
"Persons per household, 2019-2023","","2.65",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","94.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","9.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","13,008",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","23,153",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","156,161",""
"Total retail sales per capita, 2022","(c)","$8,942",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.5",""
"Median households income (in 2023 dollars), 2019-2023","","$53,888",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,869",""
"Persons in poverty, percent","","14.8%",""
"Total employer establishments, 2022","","232",""
"Total employment, 2022","","2,820",""
"Total annual payroll, 2022 ($1,000)","","117,548",""
"Total employment, percent change, 2021-2022","","8.0%",""
"Total nonemployer establishments, 2022","","1,541",""
"All employer firms, Reference year 2022","","223",""
"Men-owned employer firms, Reference year 2022","","152",""
"Women-owned employer firms, Reference year 2022","","26",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","190",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","176",""
"Population per square mile, 2020","","19.8",""
"Population per square mile, 2010","","18.8",""
"Land area in square miles, 2020","","834.23",""
"Land area in square miles, 2010","","834.26",""
"FIPS Code","","""05087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
