"Fact","Fact Note","Marion County, Arkansas","Value Note for Marion County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","17,593",""
"Population estimates, July 1, 2023, (V2023)","","17,514",""
"Population estimates base, April 1, 2020, (V2024)","","16,822",""
"Population estimates base, April 1, 2020, (V2023)","","16,828",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.1%",""
"Population, Census, April 1, 2020","","16,826",""
"Population, Census, April 1, 2010","","16,653",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","18.7%",""
"Persons 65 years and over, percent","","29.6%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","95.2%",""
"Black alone, percent (a)","(a)","0.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","2.9%",""
"White alone, not Hispanic or Latino, percent","","92.8%",""
"Veterans, 2019-2023","","1,850",""
"Foreign-born persons, percent, 2019-2023","","2.3%",""
"Housing Units, July 1, 2023, (V2023)","","9,926",""
"Owner-occupied housing unit rate, 2019-2023","","83.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$158,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,047",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$366",""
"Median gross rent, 2019-2023","","$792",""
"Building Permits, 2023","","199",""
"Households, 2019-2023","","7,296",""
"Persons per household, 2019-2023","","2.32",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","93.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","19.7%",""
"Persons without health insurance, under age 65 years, percent","","10.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","45.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","41.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","11,880",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","23,944",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","133,915",""
"Total retail sales per capita, 2022","(c)","$7,746",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.2",""
"Median households income (in 2023 dollars), 2019-2023","","$46,953",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$26,461",""
"Persons in poverty, percent","","17.4%",""
"Total employer establishments, 2022","","246",""
"Total employment, 2022","","2,790",""
"Total annual payroll, 2022 ($1,000)","","106,368",""
"Total employment, percent change, 2021-2022","","3.9%",""
"Total nonemployer establishments, 2022","","1,394",""
"All employer firms, Reference year 2022","","261",""
"Men-owned employer firms, Reference year 2022","","119",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","209",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","195",""
"Population per square mile, 2020","","28.2",""
"Population per square mile, 2010","","27.9",""
"Land area in square miles, 2020","","596.65",""
"Land area in square miles, 2010","","597.01",""
"FIPS Code","","""05089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
