"Fact","Fact Note","Mississippi County, Arkansas","Value Note for Mississippi County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","38,095",""
"Population estimates, July 1, 2023, (V2023)","","38,663",""
"Population estimates base, April 1, 2020, (V2024)","","40,687",""
"Population estimates base, April 1, 2020, (V2023)","","40,682",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-6.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-5.0%",""
"Population, Census, April 1, 2020","","40,685",""
"Population, Census, April 1, 2010","","46,480",""
"Persons under 5 years, percent","","7.0%",""
"Persons under 18 years, percent","","25.9%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","61.0%",""
"Black alone, percent (a)","(a)","36.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","5.1%",""
"White alone, not Hispanic or Latino, percent","","56.9%",""
"Veterans, 2019-2023","","1,758",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","19,164",""
"Owner-occupied housing unit rate, 2019-2023","","59.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$115,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,107",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$414",""
"Median gross rent, 2019-2023","","$797",""
"Building Permits, 2023","","49",""
"Households, 2019-2023","","15,381",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.9%",""
"Households with a computer, percent, 2019-2023","","89.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","85.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.4%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","75,399",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","168,132",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","196,684",""
"Total retail sales, 2022 ($1,000)","(c)","532,367",""
"Total retail sales per capita, 2022","(c)","$13,699",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.0",""
"Median households income (in 2023 dollars), 2019-2023","","$53,428",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,350",""
"Persons in poverty, percent","","24.9%",""
"Total employer establishments, 2022","","749",""
"Total employment, 2022","","14,918",""
"Total annual payroll, 2022 ($1,000)","","1,017,419",""
"Total employment, percent change, 2021-2022","","2.5%",""
"Total nonemployer establishments, 2022","","3,035",""
"All employer firms, Reference year 2022","","477",""
"Men-owned employer firms, Reference year 2022","","228",""
"Women-owned employer firms, Reference year 2022","","74",""
"Minority-owned employer firms, Reference year 2022","","64",""
"Nonminority-owned employer firms, Reference year 2022","","292",""
"Veteran-owned employer firms, Reference year 2022","","30",""
"Nonveteran-owned employer firms, Reference year 2022","","321",""
"Population per square mile, 2020","","45.1",""
"Population per square mile, 2010","","51.6",""
"Land area in square miles, 2020","","902.09",""
"Land area in square miles, 2010","","900.57",""
"FIPS Code","","""05093""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
