"Fact","Fact Note","Poinsett County, Arkansas","Value Note for Poinsett County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","22,300",""
"Population estimates, July 1, 2023, (V2023)","","22,397",""
"Population estimates base, April 1, 2020, (V2024)","","22,965",""
"Population estimates base, April 1, 2020, (V2023)","","22,965",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.5%",""
"Population, Census, April 1, 2020","","22,965",""
"Population, Census, April 1, 2010","","24,583",""
"Persons under 5 years, percent","","6.5%",""
"Persons under 18 years, percent","","24.3%",""
"Persons 65 years and over, percent","","18.5%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","87.8%",""
"Black alone, percent (a)","(a)","8.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","3.8%",""
"White alone, not Hispanic or Latino, percent","","84.6%",""
"Veterans, 2019-2023","","1,003",""
"Foreign-born persons, percent, 2019-2023","","1.1%",""
"Housing Units, July 1, 2023, (V2023)","","10,499",""
"Owner-occupied housing unit rate, 2019-2023","","63.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$101,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$977",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$387",""
"Median gross rent, 2019-2023","","$647",""
"Building Permits, 2023","","82",""
"Households, 2019-2023","","9,031",""
"Persons per household, 2019-2023","","2.48",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","82.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","89.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","79.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","19.3%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","24,089",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","46,217",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","17,354",""
"Total retail sales, 2022 ($1,000)","(c)","297,291",""
"Total retail sales per capita, 2022","(c)","$13,241",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.9",""
"Median households income (in 2023 dollars), 2019-2023","","$47,188",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,587",""
"Persons in poverty, percent","","19.1%",""
"Total employer establishments, 2022","","334",""
"Total employment, 2022","","3,587",""
"Total annual payroll, 2022 ($1,000)","","166,209",""
"Total employment, percent change, 2021-2022","","-1.2%",""
"Total nonemployer establishments, 2022","","1,566",""
"All employer firms, Reference year 2022","","234",""
"Men-owned employer firms, Reference year 2022","","102",""
"Women-owned employer firms, Reference year 2022","","43",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","140",""
"Veteran-owned employer firms, Reference year 2022","","9",""
"Nonveteran-owned employer firms, Reference year 2022","","144",""
"Population per square mile, 2020","","30.3",""
"Population per square mile, 2010","","32.4",""
"Land area in square miles, 2020","","758.30",""
"Land area in square miles, 2010","","758.39",""
"FIPS Code","","""05111""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
