"Fact","Fact Note","Polk County, Arkansas","Value Note for Polk County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","19,434",""
"Population estimates, July 1, 2023, (V2023)","","19,436",""
"Population estimates base, April 1, 2020, (V2024)","","19,221",""
"Population estimates base, April 1, 2020, (V2023)","","19,213",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","19,221",""
"Population, Census, April 1, 2010","","20,662",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.1%",""
"Persons 65 years and over, percent","","23.6%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","93.0%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.5%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","7.1%",""
"White alone, not Hispanic or Latino, percent","","86.7%",""
"Veterans, 2019-2023","","1,393",""
"Foreign-born persons, percent, 2019-2023","","3.4%",""
"Housing Units, July 1, 2023, (V2023)","","9,662",""
"Owner-occupied housing unit rate, 2019-2023","","82.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$122,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,108",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$358",""
"Median gross rent, 2019-2023","","$699",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","7,884",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.9%",""
"Households with a computer, percent, 2019-2023","","90.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.9%",""
"Persons without health insurance, under age 65 years, percent","","11.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","21,567",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","91,546",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","32,571",""
"Total retail sales, 2022 ($1,000)","(c)","239,359",""
"Total retail sales per capita, 2022","(c)","$12,380",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.5",""
"Median households income (in 2023 dollars), 2019-2023","","$49,252",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,243",""
"Persons in poverty, percent","","18.8%",""
"Total employer establishments, 2022","","426",""
"Total employment, 2022","","4,848",""
"Total annual payroll, 2022 ($1,000)","","182,306",""
"Total employment, percent change, 2021-2022","","-0.1%",""
"Total nonemployer establishments, 2022","","1,712",""
"All employer firms, Reference year 2022","","386",""
"Men-owned employer firms, Reference year 2022","","198",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","12",""
"Nonminority-owned employer firms, Reference year 2022","","331",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","296",""
"Population per square mile, 2020","","22.4",""
"Population per square mile, 2010","","24.1",""
"Land area in square miles, 2020","","856.84",""
"Land area in square miles, 2010","","857.68",""
"FIPS Code","","""05113""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
