"Fact","Fact Note","Randolph County, Arkansas","Value Note for Randolph County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","19,040",""
"Population estimates, July 1, 2023, (V2023)","","18,907",""
"Population estimates base, April 1, 2020, (V2024)","","18,573",""
"Population estimates base, April 1, 2020, (V2023)","","18,574",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","18,571",""
"Population, Census, April 1, 2010","","17,969",""
"Persons under 5 years, percent","","6.7%",""
"Persons under 18 years, percent","","24.6%",""
"Persons 65 years and over, percent","","19.4%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","92.0%",""
"Black alone, percent (a)","(a)","1.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","2.9%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","2.8%",""
"White alone, not Hispanic or Latino, percent","","89.7%",""
"Veterans, 2019-2023","","1,007",""
"Foreign-born persons, percent, 2019-2023","","3.7%",""
"Housing Units, July 1, 2023, (V2023)","","8,677",""
"Owner-occupied housing unit rate, 2019-2023","","73.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$118,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$959",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$400",""
"Median gross rent, 2019-2023","","$671",""
"Building Permits, 2023","","57",""
"Households, 2019-2023","","7,071",""
"Persons per household, 2019-2023","","2.60",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.5%",""
"Households with a computer, percent, 2019-2023","","86.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","76.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","16.1%",""
"Persons without health insurance, under age 65 years, percent","","10.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","45.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","19,693",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","76,403",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","45,788",""
"Total retail sales, 2022 ($1,000)","(c)","238,033",""
"Total retail sales per capita, 2022","(c)","$12,626",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.3",""
"Median households income (in 2023 dollars), 2019-2023","","$52,838",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,416",""
"Persons in poverty, percent","","18.5%",""
"Total employer establishments, 2022","","318",""
"Total employment, 2022","","3,902",""
"Total annual payroll, 2022 ($1,000)","","126,654",""
"Total employment, percent change, 2021-2022","","-0.3%",""
"Total nonemployer establishments, 2022","","1,444",""
"All employer firms, Reference year 2022","","231",""
"Men-owned employer firms, Reference year 2022","","102",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","188",""
"Veteran-owned employer firms, Reference year 2022","","7",""
"Nonveteran-owned employer firms, Reference year 2022","","162",""
"Population per square mile, 2020","","28.5",""
"Population per square mile, 2010","","27.6",""
"Land area in square miles, 2020","","651.91",""
"Land area in square miles, 2010","","652.19",""
"FIPS Code","","""05121""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
