"Fact","Fact Note","Stone County, Arkansas","Value Note for Stone County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","12,785",""
"Population estimates, July 1, 2023, (V2023)","","12,671",""
"Population estimates base, April 1, 2020, (V2024)","","12,352",""
"Population estimates base, April 1, 2020, (V2023)","","12,354",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.6%",""
"Population, Census, April 1, 2020","","12,359",""
"Population, Census, April 1, 2010","","12,394",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","19.7%",""
"Persons 65 years and over, percent","","28.7%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","95.7%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","93.7%",""
"Veterans, 2019-2023","","1,111",""
"Foreign-born persons, percent, 2019-2023","","0.8%",""
"Housing Units, July 1, 2023, (V2023)","","6,869",""
"Owner-occupied housing unit rate, 2019-2023","","75.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$149,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,094",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$341",""
"Median gross rent, 2019-2023","","$717",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","4,962",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.3%",""
"Households with a computer, percent, 2019-2023","","84.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","70.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","17.5%",""
"Persons without health insurance, under age 65 years, percent","","11.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","41.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","37.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","21,902",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","49,780",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","4,521",""
"Total retail sales, 2022 ($1,000)","(c)","179,970",""
"Total retail sales per capita, 2022","(c)","$14,300",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$38,531",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,196",""
"Persons in poverty, percent","","17.7%",""
"Total employer establishments, 2022","","240",""
"Total employment, 2022","","2,076",""
"Total annual payroll, 2022 ($1,000)","","69,322",""
"Total employment, percent change, 2021-2022","","-2.1%",""
"Total nonemployer establishments, 2022","","1,320",""
"All employer firms, Reference year 2022","","237",""
"Men-owned employer firms, Reference year 2022","","103",""
"Women-owned employer firms, Reference year 2022","","42",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","184",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","182",""
"Population per square mile, 2020","","20.4",""
"Population per square mile, 2010","","20.4",""
"Land area in square miles, 2020","","606.44",""
"Land area in square miles, 2010","","606.41",""
"FIPS Code","","""05137""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
