"Fact","Fact Note","White County, Arkansas","Value Note for White County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","79,091",""
"Population estimates, July 1, 2023, (V2023)","","78,452",""
"Population estimates base, April 1, 2020, (V2024)","","76,825",""
"Population estimates base, April 1, 2020, (V2023)","","76,824",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.1%",""
"Population, Census, April 1, 2020","","76,822",""
"Population, Census, April 1, 2010","","77,076",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","23.2%",""
"Persons 65 years and over, percent","","17.2%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","91.3%",""
"Black alone, percent (a)","(a)","4.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","5.1%",""
"White alone, not Hispanic or Latino, percent","","86.7%",""
"Veterans, 2019-2023","","4,468",""
"Foreign-born persons, percent, 2019-2023","","1.9%",""
"Housing Units, July 1, 2023, (V2023)","","34,411",""
"Owner-occupied housing unit rate, 2019-2023","","68.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$159,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,171",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$388",""
"Median gross rent, 2019-2023","","$806",""
"Building Permits, 2023","","210",""
"Households, 2019-2023","","28,945",""
"Persons per household, 2019-2023","","2.56",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.1%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","85.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.3%",""
"Persons without health insurance, under age 65 years, percent","","10.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","170,819",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","522,851",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","305,145",""
"Total retail sales, 2022 ($1,000)","(c)","1,436,892",""
"Total retail sales per capita, 2022","(c)","$18,513",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.0",""
"Median households income (in 2023 dollars), 2019-2023","","$53,435",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$28,459",""
"Persons in poverty, percent","","15.7%",""
"Total employer establishments, 2022","","1,620",""
"Total employment, 2022","","22,891",""
"Total annual payroll, 2022 ($1,000)","","928,418",""
"Total employment, percent change, 2021-2022","","0.8%",""
"Total nonemployer establishments, 2022","","5,951",""
"All employer firms, Reference year 2022","","1,273",""
"Men-owned employer firms, Reference year 2022","","675",""
"Women-owned employer firms, Reference year 2022","","222",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","980",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,003",""
"Population per square mile, 2020","","74.3",""
"Population per square mile, 2010","","74.5",""
"Land area in square miles, 2020","","1,034.08",""
"Land area in square miles, 2010","","1,035.08",""
"FIPS Code","","""05145""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
