"Fact","Fact Note","Woodruff County, Arkansas","Value Note for Woodruff County, Arkansas"
"Population estimates, July 1, 2024, (V2024)","","5,808",""
"Population estimates, July 1, 2023, (V2023)","","5,964",""
"Population estimates base, April 1, 2020, (V2024)","","6,268",""
"Population estimates base, April 1, 2020, (V2023)","","6,272",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-7.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-4.9%",""
"Population, Census, April 1, 2020","","6,269",""
"Population, Census, April 1, 2010","","7,260",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","21.9%",""
"Persons 65 years and over, percent","","25.0%",""
"Female persons, percent","","51.3%",""
"White alone, percent","","71.4%",""
"Black alone, percent (a)","(a)","25.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","2.1%",""
"White alone, not Hispanic or Latino, percent","","69.9%",""
"Veterans, 2019-2023","","307",""
"Foreign-born persons, percent, 2019-2023","","0.3%",""
"Housing Units, July 1, 2023, (V2023)","","3,252",""
"Owner-occupied housing unit rate, 2019-2023","","65.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$96,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,201",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$385",""
"Median gross rent, 2019-2023","","$595",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","2,753",""
"Persons per household, 2019-2023","","2.19",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.0%",""
"Households with a computer, percent, 2019-2023","","77.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","62.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","15.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.2%",""
"Persons without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,482",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","14,795",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","8,282",""
"Total retail sales, 2022 ($1,000)","(c)","50,781",""
"Total retail sales per capita, 2022","(c)","$8,384",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.4",""
"Median households income (in 2023 dollars), 2019-2023","","$49,982",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,471",""
"Persons in poverty, percent","","24.4%",""
"Total employer establishments, 2022","","123",""
"Total employment, 2022","","1,358",""
"Total annual payroll, 2022 ($1,000)","","58,015",""
"Total employment, percent change, 2021-2022","","16.2%",""
"Total nonemployer establishments, 2022","","428",""
"All employer firms, Reference year 2022","","78",""
"Men-owned employer firms, Reference year 2022","","42",""
"Women-owned employer firms, Reference year 2022","","22",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","63",""
"Veteran-owned employer firms, Reference year 2022","","20",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","10.7",""
"Population per square mile, 2010","","12.4",""
"Land area in square miles, 2020","","585.97",""
"Land area in square miles, 2010","","586.79",""
"FIPS Code","","""05147""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
