"Fact","Fact Note","Glenn County, California","Value Note for Glenn County, California"
"Population estimates, July 1, 2024, (V2024)","","28,304",""
"Population estimates, July 1, 2023, (V2023)","","28,129",""
"Population estimates base, April 1, 2020, (V2024)","","28,919",""
"Population estimates base, April 1, 2020, (V2023)","","28,921",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.7%",""
"Population, Census, April 1, 2020","","28,917",""
"Population, Census, April 1, 2010","","28,122",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","26.6%",""
"Persons 65 years and over, percent","","17.3%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","88.8%",""
"Black alone, percent (a)","(a)","1.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.5%",""
"Asian alone, percent (a)","(a)","2.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","3.2%",""
"Hispanic or Latino, percent (b)","(b)","45.5%",""
"White alone, not Hispanic or Latino, percent","","47.5%",""
"Veterans, 2019-2023","","1,205",""
"Foreign-born persons, percent, 2019-2023","","15.8%",""
"Housing Units, July 1, 2023, (V2023)","","11,056",""
"Owner-occupied housing unit rate, 2019-2023","","63.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$338,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,745",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$575",""
"Median gross rent, 2019-2023","","$1,103",""
"Building Permits, 2023","","111",""
"Households, 2019-2023","","9,763",""
"Persons per household, 2019-2023","","2.91",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","37.9%",""
"Households with a computer, percent, 2019-2023","","94.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","80.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","16.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","53,749",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","101,735",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","107,458",""
"Total retail sales, 2022 ($1,000)","(c)","527,322",""
"Total retail sales per capita, 2022","(c)","$18,594",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.4",""
"Median households income (in 2023 dollars), 2019-2023","","$70,487",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,697",""
"Persons in poverty, percent","","13.5%",""
"Total employer establishments, 2022","","502",""
"Total employment, 2022","","5,665",""
"Total annual payroll, 2022 ($1,000)","","342,935",""
"Total employment, percent change, 2021-2022","","8.5%",""
"Total nonemployer establishments, 2022","","1,515",""
"All employer firms, Reference year 2022","","347",""
"Men-owned employer firms, Reference year 2022","","146",""
"Women-owned employer firms, Reference year 2022","","66",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","181",""
"Veteran-owned employer firms, Reference year 2022","","11",""
"Nonveteran-owned employer firms, Reference year 2022","","258",""
"Population per square mile, 2020","","22.0",""
"Population per square mile, 2010","","21.4",""
"Land area in square miles, 2020","","1,313.97",""
"Land area in square miles, 2010","","1,313.95",""
"FIPS Code","","""06021""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
