"Fact","Fact Note","Mendocino County, California","Value Note for Mendocino County, California"
"Population estimates, July 1, 2024, (V2024)","","89,175",""
"Population estimates, July 1, 2023, (V2023)","","89,108",""
"Population estimates base, April 1, 2020, (V2024)","","91,587",""
"Population estimates base, April 1, 2020, (V2023)","","91,590",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.7%",""
"Population, Census, April 1, 2020","","91,601",""
"Population, Census, April 1, 2010","","87,841",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","25.4%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","85.7%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","6.5%",""
"Asian alone, percent (a)","(a)","2.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","4.0%",""
"Hispanic or Latino, percent (b)","(b)","28.1%",""
"White alone, not Hispanic or Latino, percent","","62.0%",""
"Veterans, 2019-2023","","4,697",""
"Foreign-born persons, percent, 2019-2023","","11.6%",""
"Housing Units, July 1, 2023, (V2023)","","41,844",""
"Owner-occupied housing unit rate, 2019-2023","","60.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$486,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,264",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$725",""
"Median gross rent, 2019-2023","","$1,325",""
"Building Permits, 2023","","17",""
"Households, 2019-2023","","34,570",""
"Persons per household, 2019-2023","","2.56",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.6%",""
"Households with a computer, percent, 2019-2023","","92.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.7%",""
"Persons without health insurance, under age 65 years, percent","","10.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","316,424",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","649,416",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","106,749",""
"Total retail sales, 2022 ($1,000)","(c)","1,635,655",""
"Total retail sales per capita, 2022","(c)","$18,173",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.3",""
"Median households income (in 2023 dollars), 2019-2023","","$64,688",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,230",""
"Persons in poverty, percent","","13.9%",""
"Total employer establishments, 2022","","2,484",""
"Total employment, 2022","","23,655",""
"Total annual payroll, 2022 ($1,000)","","1,152,822",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2022","","7,764",""
"All employer firms, Reference year 2022","","1,984",""
"Men-owned employer firms, Reference year 2022","","1,002",""
"Women-owned employer firms, Reference year 2022","","400",""
"Minority-owned employer firms, Reference year 2022","","359",""
"Nonminority-owned employer firms, Reference year 2022","","1,318",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,587",""
"Population per square mile, 2020","","26.1",""
"Population per square mile, 2010","","25.1",""
"Land area in square miles, 2020","","3,506.82",""
"Land area in square miles, 2010","","3,506.34",""
"FIPS Code","","""06045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
