"Fact","Fact Note","Modoc County, California","Value Note for Modoc County, California"
"Population estimates, July 1, 2024, (V2024)","","8,491",""
"Population estimates, July 1, 2023, (V2023)","","8,500",""
"Population estimates base, April 1, 2020, (V2024)","","8,699",""
"Population estimates base, April 1, 2020, (V2023)","","8,703",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.3%",""
"Population, Census, April 1, 2020","","8,700",""
"Population, Census, April 1, 2010","","9,686",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","18.8%",""
"Persons 65 years and over, percent","","30.7%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","86.5%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","5.7%",""
"Asian alone, percent (a)","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","4.6%",""
"Hispanic or Latino, percent (b)","(b)","15.8%",""
"White alone, not Hispanic or Latino, percent","","75.1%",""
"Veterans, 2019-2023","","797",""
"Foreign-born persons, percent, 2019-2023","","6.6%",""
"Housing Units, July 1, 2023, (V2023)","","4,763",""
"Owner-occupied housing unit rate, 2019-2023","","77.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$212,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,442",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$463",""
"Median gross rent, 2019-2023","","$818",""
"Building Permits, 2023","","12",""
"Households, 2019-2023","","3,264",""
"Persons per household, 2019-2023","","2.48",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","11.6%",""
"Households with a computer, percent, 2019-2023","","91.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.9%",""
"Persons without health insurance, under age 65 years, percent","","8.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","46.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","11,772",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","60,153",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,228",""
"Total retail sales, 2022 ($1,000)","(c)","61,442",""
"Total retail sales per capita, 2022","(c)","$7,129",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.5",""
"Median households income (in 2023 dollars), 2019-2023","","$56,648",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,660",""
"Persons in poverty, percent","","20.1%",""
"Total employer establishments, 2022","","160",""
"Total employment, 2022","","1,211",""
"Total annual payroll, 2022 ($1,000)","","63,708",""
"Total employment, percent change, 2021-2022","","-1.9%",""
"Total nonemployer establishments, 2022","","564",""
"All employer firms, Reference year 2022","","124",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","2.2",""
"Population per square mile, 2010","","2.5",""
"Land area in square miles, 2020","","3,948.23",""
"Land area in square miles, 2010","","3,917.77",""
"FIPS Code","","""06049""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
