"Fact","Fact Note","Mono County, California","Value Note for Mono County, California"
"Population estimates, July 1, 2024, (V2024)","","12,991",""
"Population estimates, July 1, 2023, (V2023)","","13,066",""
"Population estimates base, April 1, 2020, (V2024)","","13,196",""
"Population estimates base, April 1, 2020, (V2023)","","13,201",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.0%",""
"Population, Census, April 1, 2020","","13,195",""
"Population, Census, April 1, 2010","","14,202",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","17.3%",""
"Persons 65 years and over, percent","","19.3%",""
"Female persons, percent","","46.7%",""
"White alone, percent","","89.5%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.0%",""
"Asian alone, percent (a)","(a)","2.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","3.6%",""
"Hispanic or Latino, percent (b)","(b)","27.4%",""
"White alone, not Hispanic or Latino, percent","","65.1%",""
"Veterans, 2019-2023","","635",""
"Foreign-born persons, percent, 2019-2023","","16.3%",""
"Housing Units, July 1, 2023, (V2023)","","13,730",""
"Owner-occupied housing unit rate, 2019-2023","","69.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$514,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,609",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$688",""
"Median gross rent, 2019-2023","","$1,593",""
"Building Permits, 2023","","38",""
"Households, 2019-2023","","5,521",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","22.2%",""
"Households with a computer, percent, 2019-2023","","99.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.6%",""
"Persons without health insurance, under age 65 years, percent","","10.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","65.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","424,584",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","124,643",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","187,941",""
"Total retail sales per capita, 2022","(c)","$14,455",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.5",""
"Median households income (in 2023 dollars), 2019-2023","","$86,953",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$49,271",""
"Persons in poverty, percent","","7.8%",""
"Total employer establishments, 2022","","642",""
"Total employment, 2022","","6,639",""
"Total annual payroll, 2022 ($1,000)","","279,243",""
"Total employment, percent change, 2021-2022","","6.4%",""
"Total nonemployer establishments, 2022","","1,287",""
"All employer firms, Reference year 2022","","441",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","8",""
"Nonminority-owned employer firms, Reference year 2022","","395",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","360",""
"Population per square mile, 2020","","4.3",""
"Population per square mile, 2010","","4.7",""
"Land area in square miles, 2020","","3,048.90",""
"Land area in square miles, 2010","","3,048.98",""
"FIPS Code","","""06051""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
