"Fact","Fact Note","Orange County, California","Value Note for Orange County, California"
"Population estimates, July 1, 2024, (V2024)","","3,170,435",""
"Population estimates, July 1, 2023, (V2023)","","3,135,755",""
"Population estimates base, April 1, 2020, (V2024)","","3,187,256",""
"Population estimates base, April 1, 2020, (V2023)","","3,186,997",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.6%",""
"Population, Census, April 1, 2020","","3,186,989",""
"Population, Census, April 1, 2010","","3,010,232",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","16.9%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","68.7%",""
"Black alone, percent (a)","(a)","2.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","23.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.4%",""
"Two or More Races, percent","","3.9%",""
"Hispanic or Latino, percent (b)","(b)","34.2%",""
"White alone, not Hispanic or Latino, percent","","37.4%",""
"Veterans, 2019-2023","","89,830",""
"Foreign-born persons, percent, 2019-2023","","29.9%",""
"Housing Units, July 1, 2023, (V2023)","","1,153,540",""
"Owner-occupied housing unit rate, 2019-2023","","56.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$915,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$3,311",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$857",""
"Median gross rent, 2019-2023","","$2,352",""
"Building Permits, 2023","","6,481",""
"Households, 2019-2023","","1,074,654",""
"Persons per household, 2019-2023","","2.90",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","45.9%",""
"Households with a computer, percent, 2019-2023","","97.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","43.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.6%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","17,230,280",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","34,183,892",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,818,961",""
"Total retail sales, 2022 ($1,000)","(c)","72,489,819",""
"Total retail sales per capita, 2022","(c)","$23,010",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.0",""
"Median households income (in 2023 dollars), 2019-2023","","$113,702",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$52,816",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","106,249",""
"Total employment, 2022","","1,561,560",""
"Total annual payroll, 2022 ($1,000)","","113,289,869",""
"Total employment, percent change, 2021-2022","","7.3%",""
"Total nonemployer establishments, 2022","","319,630",""
"All employer firms, Reference year 2022","","85,955",""
"Men-owned employer firms, Reference year 2022","","51,422",""
"Women-owned employer firms, Reference year 2022","","19,506",""
"Minority-owned employer firms, Reference year 2022","","31,524",""
"Nonminority-owned employer firms, Reference year 2022","","48,495",""
"Veteran-owned employer firms, Reference year 2022","","2,916",""
"Nonveteran-owned employer firms, Reference year 2022","","78,157",""
"Population per square mile, 2020","","4,019.7",""
"Population per square mile, 2010","","3,807.7",""
"Land area in square miles, 2020","","792.84",""
"Land area in square miles, 2010","","790.57",""
"FIPS Code","","""06059""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
