"Fact","Fact Note","Riverside County, California","Value Note for Riverside County, California"
"Population estimates, July 1, 2024, (V2024)","","2,529,933",""
"Population estimates, July 1, 2023, (V2023)","","2,492,442",""
"Population estimates base, April 1, 2020, (V2024)","","2,419,967",""
"Population estimates base, April 1, 2020, (V2023)","","2,418,182",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.1%",""
"Population, Census, April 1, 2020","","2,418,185",""
"Population, Census, April 1, 2010","","2,189,641",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","15.7%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","78.0%",""
"Black alone, percent (a)","(a)","7.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.0%",""
"Asian alone, percent (a)","(a)","8.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.5%",""
"Two or More Races, percent","","3.9%",""
"Hispanic or Latino, percent (b)","(b)","51.9%",""
"White alone, not Hispanic or Latino, percent","","31.0%",""
"Veterans, 2019-2023","","111,536",""
"Foreign-born persons, percent, 2019-2023","","21.6%",""
"Housing Units, July 1, 2023, (V2023)","","877,844",""
"Owner-occupied housing unit rate, 2019-2023","","68.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$510,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,492",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$730",""
"Median gross rent, 2019-2023","","$1,814",""
"Building Permits, 2023","","12,953",""
"Households, 2019-2023","","762,234",""
"Persons per household, 2019-2023","","3.17",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","41.8%",""
"Households with a computer, percent, 2019-2023","","96.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.7%",""
"Persons without health insurance, under age 65 years, percent","","8.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","10,604,308",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","15,519,734",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","4,972,907",""
"Total retail sales, 2022 ($1,000)","(c)","44,927,586",""
"Total retail sales per capita, 2022","(c)","$18,158",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","33.8",""
"Median households income (in 2023 dollars), 2019-2023","","$89,672",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,162",""
"Persons in poverty, percent","","11.3%",""
"Total employer establishments, 2022","","45,583",""
"Total employment, 2022","","652,768",""
"Total annual payroll, 2022 ($1,000)","","32,783,088",""
"Total employment, percent change, 2021-2022","","8.7%",""
"Total nonemployer establishments, 2022","","197,388",""
"All employer firms, Reference year 2022","","36,188",""
"Men-owned employer firms, Reference year 2022","","22,062",""
"Women-owned employer firms, Reference year 2022","","7,595",""
"Minority-owned employer firms, Reference year 2022","","13,429",""
"Nonminority-owned employer firms, Reference year 2022","","20,017",""
"Veteran-owned employer firms, Reference year 2022","","1,566",""
"Nonveteran-owned employer firms, Reference year 2022","","32,468",""
"Population per square mile, 2020","","335.4",""
"Population per square mile, 2010","","303.8",""
"Land area in square miles, 2020","","7,209.27",""
"Land area in square miles, 2010","","7,206.48",""
"FIPS Code","","""06065""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
