"Fact","Fact Note","San Benito County, California","Value Note for San Benito County, California"
"Population estimates, July 1, 2024, (V2024)","","69,159",""
"Population estimates, July 1, 2023, (V2023)","","68,175",""
"Population estimates base, April 1, 2020, (V2024)","","64,209",""
"Population estimates base, April 1, 2020, (V2023)","","64,210",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","6.2%",""
"Population, Census, April 1, 2020","","64,209",""
"Population, Census, April 1, 2010","","55,269",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","25.0%",""
"Persons 65 years and over, percent","","13.9%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","84.5%",""
"Black alone, percent (a)","(a)","1.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.1%",""
"Asian alone, percent (a)","(a)","5.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.6%",""
"Two or More Races, percent","","4.0%",""
"Hispanic or Latino, percent (b)","(b)","62.5%",""
"White alone, not Hispanic or Latino, percent","","28.9%",""
"Veterans, 2019-2023","","2,083",""
"Foreign-born persons, percent, 2019-2023","","19.3%",""
"Housing Units, July 1, 2023, (V2023)","","21,697",""
"Owner-occupied housing unit rate, 2019-2023","","67.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$751,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$3,191",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$806",""
"Median gross rent, 2019-2023","","$1,922",""
"Building Permits, 2023","","393",""
"Households, 2019-2023","","20,188",""
"Persons per household, 2019-2023","","3.25",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","42.4%",""
"Households with a computer, percent, 2019-2023","","97.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.7%",""
"Persons without health insurance, under age 65 years, percent","","6.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","130,440",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","273,577",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","135,916",""
"Total retail sales, 2022 ($1,000)","(c)","607,438",""
"Total retail sales per capita, 2022","(c)","$8,980",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","36.1",""
"Median households income (in 2023 dollars), 2019-2023","","$108,289",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,524",""
"Persons in poverty, percent","","9.1%",""
"Total employer establishments, 2022","","1,126",""
"Total employment, 2022","","13,484",""
"Total annual payroll, 2022 ($1,000)","","748,653",""
"Total employment, percent change, 2021-2022","","4.6%",""
"Total nonemployer establishments, 2022","","4,259",""
"All employer firms, Reference year 2022","","893",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","719",""
"Population per square mile, 2020","","46.2",""
"Population per square mile, 2010","","39.8",""
"Land area in square miles, 2020","","1,388.65",""
"Land area in square miles, 2010","","1,388.71",""
"FIPS Code","","""06069""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
