"Fact","Fact Note","San Diego County, California","Value Note for San Diego County, California"
"Population estimates, July 1, 2024, (V2024)","","3,298,799",""
"Population estimates, July 1, 2023, (V2023)","","3,269,973",""
"Population estimates base, April 1, 2020, (V2024)","","3,298,647",""
"Population estimates base, April 1, 2020, (V2023)","","3,298,648",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","Z",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.9%",""
"Population, Census, April 1, 2020","","3,298,634",""
"Population, Census, April 1, 2010","","3,095,313",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","20.6%",""
"Persons 65 years and over, percent","","15.9%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","74.0%",""
"Black alone, percent (a)","(a)","5.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","13.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.6%",""
"Two or More Races, percent","","5.1%",""
"Hispanic or Latino, percent (b)","(b)","34.9%",""
"White alone, not Hispanic or Latino, percent","","43.1%",""
"Veterans, 2019-2023","","189,272",""
"Foreign-born persons, percent, 2019-2023","","22.5%",""
"Housing Units, July 1, 2023, (V2023)","","1,262,043",""
"Owner-occupied housing unit rate, 2019-2023","","54.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$791,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$3,115",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$826",""
"Median gross rent, 2019-2023","","$2,154",""
"Building Permits, 2023","","11,469",""
"Households, 2019-2023","","1,159,822",""
"Persons per household, 2019-2023","","2.74",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","36.7%",""
"Households with a computer, percent, 2019-2023","","97.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","42.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.0%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,555,505",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","35,988,326",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,649,274",""
"Total retail sales, 2022 ($1,000)","(c)","61,535,438",""
"Total retail sales per capita, 2022","(c)","$18,777",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.9",""
"Median households income (in 2023 dollars), 2019-2023","","$102,285",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$49,891",""
"Persons in poverty, percent","","10.1%",""
"Total employer establishments, 2022","","92,799",""
"Total employment, 2022","","1,338,161",""
"Total annual payroll, 2022 ($1,000)","","100,487,109",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2022","","297,720",""
"All employer firms, Reference year 2022","","73,839",""
"Men-owned employer firms, Reference year 2022","","43,270",""
"Women-owned employer firms, Reference year 2022","","17,921",""
"Minority-owned employer firms, Reference year 2022","","21,233",""
"Nonminority-owned employer firms, Reference year 2022","","46,425",""
"Veteran-owned employer firms, Reference year 2022","","3,635",""
"Nonveteran-owned employer firms, Reference year 2022","","64,776",""
"Population per square mile, 2020","","783.5",""
"Population per square mile, 2010","","735.8",""
"Land area in square miles, 2020","","4,210.23",""
"Land area in square miles, 2010","","4,206.63",""
"FIPS Code","","""06073""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
