"Fact","Fact Note","San Francisco County, California","Value Note for San Francisco County, California"
"Population estimates, July 1, 2024, (V2024)","","827,526",""
"Population estimates, July 1, 2023, (V2023)","","808,988",""
"Population estimates base, April 1, 2020, (V2024)","","878,392",""
"Population estimates base, April 1, 2020, (V2023)","","873,950",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-5.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-7.4%",""
"Population, Census, April 1, 2020","","873,965",""
"Population, Census, April 1, 2010","","805,235",""
"Persons under 5 years, percent","","4.0%",""
"Persons under 18 years, percent","","13.6%",""
"Persons 65 years and over, percent","","18.4%",""
"Female persons, percent","","48.7%",""
"White alone, percent","","50.8%",""
"Black alone, percent (a)","(a)","5.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","37.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.5%",""
"Two or More Races, percent","","5.0%",""
"Hispanic or Latino, percent (b)","(b)","16.4%",""
"White alone, not Hispanic or Latino, percent","","37.5%",""
"Veterans, 2019-2023","","18,553",""
"Foreign-born persons, percent, 2019-2023","","34.2%",""
"Housing Units, July 1, 2023, (V2023)","","418,146",""
"Owner-occupied housing unit rate, 2019-2023","","38.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$1,380,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$4,000+",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$947",""
"Median gross rent, 2019-2023","","$2,419",""
"Building Permits, 2023","","1,136",""
"Households, 2019-2023","","362,650",""
"Persons per household, 2019-2023","","2.24",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","43.4%",""
"Households with a computer, percent, 2019-2023","","96.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","60.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.5%",""
"Persons without health insurance, under age 65 years, percent","","4.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","70.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","66.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","8,135,982",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","19,957,626",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","13,512,030",""
"Total retail sales, 2022 ($1,000)","(c)","29,527,659",""
"Total retail sales per capita, 2022","(c)","$36,554",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.2",""
"Median households income (in 2023 dollars), 2019-2023","","$141,446",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$90,285",""
"Persons in poverty, percent","","11.9%",""
"Total employer establishments, 2022","","33,513",""
"Total employment, 2022","","732,257",""
"Total annual payroll, 2022 ($1,000)","","111,946,479",""
"Total employment, percent change, 2021-2022","","15.0%",""
"Total nonemployer establishments, 2022","","85,566",""
"All employer firms, Reference year 2022","","27,858",""
"Men-owned employer firms, Reference year 2022","","16,253",""
"Women-owned employer firms, Reference year 2022","","6,387",""
"Minority-owned employer firms, Reference year 2022","","9,420",""
"Nonminority-owned employer firms, Reference year 2022","","15,255",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","24,391",""
"Population per square mile, 2020","","18,629.1",""
"Population per square mile, 2010","","17,179.1",""
"Land area in square miles, 2020","","46.91",""
"Land area in square miles, 2010","","46.87",""
"FIPS Code","","""06075""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
