"Fact","Fact Note","Santa Barbara County, California","Value Note for Santa Barbara County, California"
"Population estimates, July 1, 2024, (V2024)","","444,500",""
"Population estimates, July 1, 2023, (V2023)","","441,257",""
"Population estimates base, April 1, 2020, (V2024)","","448,217",""
"Population estimates base, April 1, 2020, (V2023)","","448,220",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.6%",""
"Population, Census, April 1, 2020","","448,229",""
"Population, Census, April 1, 2010","","423,895",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","17.1%",""
"Female persons, percent","","50.0%",""
"White alone, percent","","85.1%",""
"Black alone, percent (a)","(a)","2.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.2%",""
"Asian alone, percent (a)","(a)","6.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","4.1%",""
"Hispanic or Latino, percent (b)","(b)","48.5%",""
"White alone, not Hispanic or Latino, percent","","41.3%",""
"Veterans, 2019-2023","","17,154",""
"Foreign-born persons, percent, 2019-2023","","22.1%",""
"Housing Units, July 1, 2023, (V2023)","","161,915",""
"Owner-occupied housing unit rate, 2019-2023","","52.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$735,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,855",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$779",""
"Median gross rent, 2019-2023","","$2,050",""
"Building Permits, 2023","","471",""
"Households, 2019-2023","","148,960",""
"Persons per household, 2019-2023","","2.83",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","40.0%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","82.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.3%",""
"Persons without health insurance, under age 65 years, percent","","9.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,848,954",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","4,363,756",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,137,614",""
"Total retail sales, 2022 ($1,000)","(c)","7,392,491",""
"Total retail sales per capita, 2022","(c)","$16,653",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.8",""
"Median households income (in 2023 dollars), 2019-2023","","$95,977",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,679",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2022","","12,375",""
"Total employment, 2022","","156,607",""
"Total annual payroll, 2022 ($1,000)","","10,254,466",""
"Total employment, percent change, 2021-2022","","8.5%",""
"Total nonemployer establishments, 2022","","34,696",""
"All employer firms, Reference year 2022","","10,121",""
"Men-owned employer firms, Reference year 2022","","5,657",""
"Women-owned employer firms, Reference year 2022","","2,088",""
"Minority-owned employer firms, Reference year 2022","","2,290",""
"Nonminority-owned employer firms, Reference year 2022","","6,466",""
"Veteran-owned employer firms, Reference year 2022","","470",""
"Nonveteran-owned employer firms, Reference year 2022","","8,397",""
"Population per square mile, 2020","","164.0",""
"Population per square mile, 2010","","155.0",""
"Land area in square miles, 2020","","2,733.94",""
"Land area in square miles, 2010","","2,735.09",""
"FIPS Code","","""06083""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
