"Fact","Fact Note","Santa Cruz County, California","Value Note for Santa Cruz County, California"
"Population estimates, July 1, 2024, (V2024)","","262,406",""
"Population estimates, July 1, 2023, (V2023)","","261,547",""
"Population estimates base, April 1, 2020, (V2024)","","272,140",""
"Population estimates base, April 1, 2020, (V2023)","","270,870",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.4%",""
"Population, Census, April 1, 2020","","270,861",""
"Population, Census, April 1, 2010","","262,382",""
"Persons under 5 years, percent","","4.3%",""
"Persons under 18 years, percent","","18.0%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","50.2%",""
"White alone, percent","","86.4%",""
"Black alone, percent (a)","(a)","1.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.9%",""
"Asian alone, percent (a)","(a)","5.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","4.6%",""
"Hispanic or Latino, percent (b)","(b)","35.2%",""
"White alone, not Hispanic or Latino, percent","","55.2%",""
"Veterans, 2019-2023","","8,560",""
"Foreign-born persons, percent, 2019-2023","","17.7%",""
"Housing Units, July 1, 2023, (V2023)","","107,128",""
"Owner-occupied housing unit rate, 2019-2023","","60.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$1,015,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$3,431",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$902",""
"Median gross rent, 2019-2023","","$2,172",""
"Building Permits, 2023","","540",""
"Households, 2019-2023","","96,873",""
"Persons per household, 2019-2023","","2.60",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","32.6%",""
"Households with a computer, percent, 2019-2023","","96.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","43.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.4%",""
"Persons without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,008,369",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","2,707,154",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","329,965",""
"Total retail sales, 2022 ($1,000)","(c)","4,216,421",""
"Total retail sales per capita, 2022","(c)","$15,957",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.6",""
"Median households income (in 2023 dollars), 2019-2023","","$109,266",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$55,717",""
"Persons in poverty, percent","","12.6%",""
"Total employer establishments, 2022","","7,179",""
"Total employment, 2022","","78,616",""
"Total annual payroll, 2022 ($1,000)","","4,741,199",""
"Total employment, percent change, 2021-2022","","7.3%",""
"Total nonemployer establishments, 2022","","22,913",""
"All employer firms, Reference year 2022","","5,993",""
"Men-owned employer firms, Reference year 2022","","3,530",""
"Women-owned employer firms, Reference year 2022","","1,217",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","4,325",""
"Veteran-owned employer firms, Reference year 2022","","322",""
"Nonveteran-owned employer firms, Reference year 2022","","5,096",""
"Population per square mile, 2020","","608.5",""
"Population per square mile, 2010","","589.4",""
"Land area in square miles, 2020","","445.11",""
"Land area in square miles, 2010","","445.17",""
"FIPS Code","","""06087""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
