"Fact","Fact Note","Shasta County, California","Value Note for Shasta County, California"
"Population estimates, July 1, 2024, (V2024)","","181,121",""
"Population estimates, July 1, 2023, (V2023)","","180,366",""
"Population estimates base, April 1, 2020, (V2024)","","182,452",""
"Population estimates base, April 1, 2020, (V2023)","","182,158",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.0%",""
"Population, Census, April 1, 2020","","182,155",""
"Population, Census, April 1, 2010","","177,223",""
"Persons under 5 years, percent","","5.2%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","21.9%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","86.4%",""
"Black alone, percent (a)","(a)","1.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","3.3%",""
"Asian alone, percent (a)","(a)","3.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","5.1%",""
"Hispanic or Latino, percent (b)","(b)","12.2%",""
"White alone, not Hispanic or Latino, percent","","76.7%",""
"Veterans, 2019-2023","","12,959",""
"Foreign-born persons, percent, 2019-2023","","4.9%",""
"Housing Units, July 1, 2023, (V2023)","","80,299",""
"Owner-occupied housing unit rate, 2019-2023","","65.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$347,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,906",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$667",""
"Median gross rent, 2019-2023","","$1,267",""
"Building Permits, 2023","","208",""
"Households, 2019-2023","","71,473",""
"Persons per household, 2019-2023","","2.49",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.7%",""
"Households with a computer, percent, 2019-2023","","94.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.3%",""
"Persons without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","514,586",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,891,182",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","289,004",""
"Total retail sales, 2022 ($1,000)","(c)","3,762,085",""
"Total retail sales per capita, 2022","(c)","$20,792",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.5",""
"Median households income (in 2023 dollars), 2019-2023","","$71,931",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,746",""
"Persons in poverty, percent","","13.2%",""
"Total employer establishments, 2022","","4,561",""
"Total employment, 2022","","53,483",""
"Total annual payroll, 2022 ($1,000)","","2,715,341",""
"Total employment, percent change, 2021-2022","","6.1%",""
"Total nonemployer establishments, 2022","","12,627",""
"All employer firms, Reference year 2022","","3,870",""
"Men-owned employer firms, Reference year 2022","","2,168",""
"Women-owned employer firms, Reference year 2022","","619",""
"Minority-owned employer firms, Reference year 2022","","511",""
"Nonminority-owned employer firms, Reference year 2022","","2,766",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","3,135",""
"Population per square mile, 2020","","48.2",""
"Population per square mile, 2010","","46.9",""
"Land area in square miles, 2020","","3,775.52",""
"Land area in square miles, 2010","","3,775.40",""
"FIPS Code","","""06089""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
