"Fact","Fact Note","Solano County, California","Value Note for Solano County, California"
"Population estimates, July 1, 2024, (V2024)","","455,101",""
"Population estimates, July 1, 2023, (V2023)","","449,218",""
"Population estimates base, April 1, 2020, (V2024)","","453,551",""
"Population estimates base, April 1, 2020, (V2023)","","453,491",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.9%",""
"Population, Census, April 1, 2020","","453,491",""
"Population, Census, April 1, 2010","","413,344",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.7%",""
"Persons 65 years and over, percent","","18.0%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","58.1%",""
"Black alone, percent (a)","(a)","14.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","17.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.1%",""
"Two or More Races, percent","","7.6%",""
"Hispanic or Latino, percent (b)","(b)","30.1%",""
"White alone, not Hispanic or Latino, percent","","33.4%",""
"Veterans, 2019-2023","","28,858",""
"Foreign-born persons, percent, 2019-2023","","20.5%",""
"Housing Units, July 1, 2023, (V2023)","","165,640",""
"Owner-occupied housing unit rate, 2019-2023","","63.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$589,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,688",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$700",""
"Median gross rent, 2019-2023","","$2,088",""
"Building Permits, 2023","","1,414",""
"Households, 2019-2023","","155,800",""
"Persons per household, 2019-2023","","2.83",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","30.7%",""
"Households with a computer, percent, 2019-2023","","96.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.4%",""
"Persons without health insurance, under age 65 years, percent","","5.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,142,168",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","4,676,868",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,037,676",""
"Total retail sales, 2022 ($1,000)","(c)","7,952,903",""
"Total retail sales per capita, 2022","(c)","$17,717",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.8",""
"Median households income (in 2023 dollars), 2019-2023","","$99,994",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$44,139",""
"Persons in poverty, percent","","10.3%",""
"Total employer establishments, 2022","","7,681",""
"Total employment, 2022","","119,655",""
"Total annual payroll, 2022 ($1,000)","","7,229,498",""
"Total employment, percent change, 2021-2022","","5.4%",""
"Total nonemployer establishments, 2022","","29,107",""
"All employer firms, Reference year 2022","","6,278",""
"Men-owned employer firms, Reference year 2022","","3,109",""
"Women-owned employer firms, Reference year 2022","","1,435",""
"Minority-owned employer firms, Reference year 2022","","2,549",""
"Nonminority-owned employer firms, Reference year 2022","","2,763",""
"Veteran-owned employer firms, Reference year 2022","","246",""
"Nonveteran-owned employer firms, Reference year 2022","","5,147",""
"Population per square mile, 2020","","551.8",""
"Population per square mile, 2010","","503.0",""
"Land area in square miles, 2020","","821.83",""
"Land area in square miles, 2010","","821.77",""
"FIPS Code","","""06095""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
