"Fact","Fact Note","Yuba County, California","Value Note for Yuba County, California"
"Population estimates, July 1, 2024, (V2024)","","87,469",""
"Population estimates, July 1, 2023, (V2023)","","85,722",""
"Population estimates base, April 1, 2020, (V2024)","","81,575",""
"Population estimates base, April 1, 2020, (V2023)","","81,578",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.1%",""
"Population, Census, April 1, 2020","","81,575",""
"Population, Census, April 1, 2010","","72,155",""
"Persons under 5 years, percent","","7.2%",""
"Persons under 18 years, percent","","27.0%",""
"Persons 65 years and over, percent","","13.4%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","75.1%",""
"Black alone, percent (a)","(a)","5.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.9%",""
"Asian alone, percent (a)","(a)","8.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.7%",""
"Two or More Races, percent","","7.0%",""
"Hispanic or Latino, percent (b)","(b)","31.5%",""
"White alone, not Hispanic or Latino, percent","","49.0%",""
"Veterans, 2019-2023","","5,161",""
"Foreign-born persons, percent, 2019-2023","","11.0%",""
"Housing Units, July 1, 2023, (V2023)","","31,263",""
"Owner-occupied housing unit rate, 2019-2023","","63.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$380,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,117",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$609",""
"Median gross rent, 2019-2023","","$1,209",""
"Building Permits, 2023","","523",""
"Households, 2019-2023","","28,063",""
"Persons per household, 2019-2023","","2.91",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","24.5%",""
"Households with a computer, percent, 2019-2023","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","84.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","17.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.1%",""
"Persons without health insurance, under age 65 years, percent","","6.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","109,519",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","541,988",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","74,191",""
"Total retail sales, 2022 ($1,000)","(c)","587,848",""
"Total retail sales per capita, 2022","(c)","$6,969",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.2",""
"Median households income (in 2023 dollars), 2019-2023","","$73,313",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,854",""
"Persons in poverty, percent","","15.4%",""
"Total employer establishments, 2022","","884",""
"Total employment, 2022","","12,750",""
"Total annual payroll, 2022 ($1,000)","","693,473",""
"Total employment, percent change, 2021-2022","","7.9%",""
"Total nonemployer establishments, 2022","","4,488",""
"All employer firms, Reference year 2022","","734",""
"Men-owned employer firms, Reference year 2022","","342",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","187",""
"Nonminority-owned employer firms, Reference year 2022","","385",""
"Veteran-owned employer firms, Reference year 2022","","10",""
"Nonveteran-owned employer firms, Reference year 2022","","599",""
"Population per square mile, 2020","","129.1",""
"Population per square mile, 2010","","114.2",""
"Land area in square miles, 2020","","632.01",""
"Land area in square miles, 2010","","631.84",""
"FIPS Code","","""06115""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
