"Fact","Fact Note","Broomfield County, Colorado","Value Note for Broomfield County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","78,323",""
"Population estimates, July 1, 2023, (V2023)","","76,860",""
"Population estimates base, April 1, 2020, (V2024)","","74,106",""
"Population estimates base, April 1, 2020, (V2023)","","74,105",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.7%",""
"Population, Census, April 1, 2020","","74,112",""
"Population, Census, April 1, 2010","","55,889",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","16.3%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","86.5%",""
"Black alone, percent (a)","(a)","1.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","7.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","14.5%",""
"White alone, not Hispanic or Latino, percent","","73.6%",""
"Veterans, 2019-2023","","3,592",""
"Foreign-born persons, percent, 2019-2023","","10.5%",""
"Housing Units, July 1, 2023, (V2023)","","34,466",""
"Owner-occupied housing unit rate, 2019-2023","","62.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$631,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,491",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$738",""
"Median gross rent, 2019-2023","","$2,074",""
"Building Permits, 2023","","1,277",""
"Households, 2019-2023","","30,921",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","13.7%",""
"Households with a computer, percent, 2019-2023","","98.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","96.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","58.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.7%",""
"Persons without health insurance, under age 65 years, percent","","4.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","70.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","291,098",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","519,872",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","158,515",""
"Total retail sales, 2022 ($1,000)","(c)","1,510,425",""
"Total retail sales per capita, 2022","(c)","$19,823",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.3",""
"Median households income (in 2023 dollars), 2019-2023","","$121,025",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$62,948",""
"Persons in poverty, percent","","5.1%",""
"Total employer establishments, 2022","","2,344",""
"Total employment, 2022","","45,818",""
"Total annual payroll, 2022 ($1,000)","","4,114,337",""
"Total employment, percent change, 2021-2022","","9.9%",""
"Total nonemployer establishments, 2022","","7,217",""
"All employer firms, Reference year 2022","","2,040",""
"Men-owned employer firms, Reference year 2022","","1,086",""
"Women-owned employer firms, Reference year 2022","","395",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,308",""
"Veteran-owned employer firms, Reference year 2022","","100",""
"Nonveteran-owned employer firms, Reference year 2022","","1,524",""
"Population per square mile, 2020","","2,248.0",""
"Population per square mile, 2010","","1,691.9",""
"Land area in square miles, 2020","","32.97",""
"Land area in square miles, 2010","","33.03",""
"FIPS Code","","""08014""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
