"Fact","Fact Note","Chaffee County, Colorado","Value Note for Chaffee County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","20,780",""
"Population estimates, July 1, 2023, (V2023)","","20,617",""
"Population estimates base, April 1, 2020, (V2024)","","19,476",""
"Population estimates base, April 1, 2020, (V2023)","","19,476",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.9%",""
"Population, Census, April 1, 2020","","19,476",""
"Population, Census, April 1, 2010","","17,809",""
"Persons under 5 years, percent","","3.6%",""
"Persons under 18 years, percent","","14.6%",""
"Persons 65 years and over, percent","","26.2%",""
"Female persons, percent","","47.2%",""
"White alone, percent","","93.0%",""
"Black alone, percent (a)","(a)","2.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","10.2%",""
"White alone, not Hispanic or Latino, percent","","84.5%",""
"Veterans, 2019-2023","","1,085",""
"Foreign-born persons, percent, 2019-2023","","2.8%",""
"Housing Units, July 1, 2023, (V2023)","","11,923",""
"Owner-occupied housing unit rate, 2019-2023","","72.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$598,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,897",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$497",""
"Median gross rent, 2019-2023","","$1,514",""
"Building Permits, 2023","","285",""
"Households, 2019-2023","","9,195",""
"Persons per household, 2019-2023","","2.00",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.5%",""
"Households with a computer, percent, 2019-2023","","94.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","45.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","9.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","147,029",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","185,982",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","14,534",""
"Total retail sales, 2022 ($1,000)","(c)","458,209",""
"Total retail sales per capita, 2022","(c)","$22,611",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.3",""
"Median households income (in 2023 dollars), 2019-2023","","$70,909",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,357",""
"Persons in poverty, percent","","9.4%",""
"Total employer establishments, 2022","","1,075",""
"Total employment, 2022","","7,189",""
"Total annual payroll, 2022 ($1,000)","","320,539",""
"Total employment, percent change, 2021-2022","","9.4%",""
"Total nonemployer establishments, 2022","","3,114",""
"All employer firms, Reference year 2022","","1,075",""
"Men-owned employer firms, Reference year 2022","","518",""
"Women-owned employer firms, Reference year 2022","","286",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","927",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","953",""
"Population per square mile, 2020","","19.2",""
"Population per square mile, 2010","","17.6",""
"Land area in square miles, 2020","","1,013.41",""
"Land area in square miles, 2010","","1,013.40",""
"FIPS Code","","""08015""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
