"Fact","Fact Note","Cheyenne County, Colorado","Value Note for Cheyenne County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","1,712",""
"Population estimates, July 1, 2023, (V2023)","","1,727",""
"Population estimates base, April 1, 2020, (V2024)","","1,749",""
"Population estimates base, April 1, 2020, (V2023)","","1,749",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.3%",""
"Population, Census, April 1, 2020","","1,748",""
"Population, Census, April 1, 2010","","1,836",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","21.9%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","92.6%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.6%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","12.7%",""
"White alone, not Hispanic or Latino, percent","","81.1%",""
"Veterans, 2019-2023","","99",""
"Foreign-born persons, percent, 2019-2023","","9.0%",""
"Housing Units, July 1, 2023, (V2023)","","956",""
"Owner-occupied housing unit rate, 2019-2023","","72.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$187,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,250",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$431",""
"Median gross rent, 2019-2023","","$862",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","751",""
"Persons per household, 2019-2023","","2.25",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.6%",""
"Households with a computer, percent, 2019-2023","","96.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.4%",""
"Persons without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","610",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","6,208",""
"Total retail sales, 2022 ($1,000)","(c)","16,061",""
"Total retail sales per capita, 2022","(c)","$9,278",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.9",""
"Median households income (in 2023 dollars), 2019-2023","","$67,768",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,468",""
"Persons in poverty, percent","","13.3%",""
"Total employer establishments, 2022","","56",""
"Total employment, 2022","","354",""
"Total annual payroll, 2022 ($1,000)","","19,064",""
"Total employment, percent change, 2021-2022","","-27.6%",""
"Total nonemployer establishments, 2022","","240",""
"All employer firms, Reference year 2022","","37",""
"Men-owned employer firms, Reference year 2022","","19",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","31",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","29",""
"Population per square mile, 2020","","1.0",""
"Population per square mile, 2010","","1.0",""
"Land area in square miles, 2020","","1,778.28",""
"Land area in square miles, 2010","","1,778.28",""
"FIPS Code","","""08017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
