"Fact","Fact Note","Douglas County, Colorado","Value Note for Douglas County, Colorado"
"Population estimates, July 1, 2024, (V2024)","","393,995",""
"Population estimates, July 1, 2023, (V2023)","","383,906",""
"Population estimates base, April 1, 2020, (V2024)","","357,990",""
"Population estimates base, April 1, 2020, (V2023)","","357,998",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","10.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","7.2%",""
"Population, Census, April 1, 2020","","357,978",""
"Population, Census, April 1, 2010","","285,465",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","22.9%",""
"Persons 65 years and over, percent","","14.5%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","87.6%",""
"Black alone, percent (a)","(a)","2.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","6.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","10.4%",""
"White alone, not Hispanic or Latino, percent","","78.3%",""
"Veterans, 2019-2023","","21,474",""
"Foreign-born persons, percent, 2019-2023","","8.2%",""
"Housing Units, July 1, 2023, (V2023)","","148,736",""
"Owner-occupied housing unit rate, 2019-2023","","77.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$674,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,813",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$808",""
"Median gross rent, 2019-2023","","$2,095",""
"Building Permits, 2023","","3,568",""
"Households, 2019-2023","","136,130",""
"Persons per household, 2019-2023","","2.70",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.0%",""
"Households with a computer, percent, 2019-2023","","98.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","97.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","98.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","60.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.1%",""
"Persons without health insurance, under age 65 years, percent","","4.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","71.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","65.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,075,444",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,004,717",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","456,073",""
"Total retail sales, 2022 ($1,000)","(c)","9,975,539",""
"Total retail sales per capita, 2022","(c)","$26,535",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.2",""
"Median households income (in 2023 dollars), 2019-2023","","$145,737",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$66,810",""
"Persons in poverty, percent","","3.7%",""
"Total employer establishments, 2022","","10,395",""
"Total employment, 2022","","125,515",""
"Total annual payroll, 2022 ($1,000)","","8,466,944",""
"Total employment, percent change, 2021-2022","","1.8%",""
"Total nonemployer establishments, 2022","","39,279",""
"All employer firms, Reference year 2022","","8,541",""
"Men-owned employer firms, Reference year 2022","","4,635",""
"Women-owned employer firms, Reference year 2022","","2,189",""
"Minority-owned employer firms, Reference year 2022","","823",""
"Nonminority-owned employer firms, Reference year 2022","","6,906",""
"Veteran-owned employer firms, Reference year 2022","","579",""
"Nonveteran-owned employer firms, Reference year 2022","","7,176",""
"Population per square mile, 2020","","426.0",""
"Population per square mile, 2010","","339.7",""
"Land area in square miles, 2020","","840.25",""
"Land area in square miles, 2010","","840.25",""
"FIPS Code","","""08035""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
